sub,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength,outcome
CC0060,0.848121812,0.702408177,110.799767,157.7427067,142.69548,167.6931722,168.5140944,171.4001167,686629.7083,133.7850302,0.085565141,439881.4521,0.640638537,681607,-0.865075662,0.265884849,203878.374,5.116692153,0.602073087,2.415210025,0.840669275,0.343773254,-0.351599259,-0.404650835,-1.560196702,2.400865977,0.249864622,0.546913394,0.262769679,203878.374,0.032365312,0.175492222,672.4909537,117414.3127,880.1828416,212.2222052,71.99291135,0.495144521,6.495949894,4.160860154,29.30956716,0.246915829,0.1584665,0.973686039,0.892607264,-0.044866664,0.587782503,0.164098255,25.24744409,0.001432231,9.926692652,0.498795085,0.003931969,50.49488818,5.881462899,71.05377913,20849.20169,0.032065577,76.99338323,738.6547046,1.152081423,839.2603923,0.002796315,0.002445387,5.403925562,594050.8514,0.913520274,0.953916034,0.052869867,0.965669651,715.8696406,0.002365739,10602.76308,0.028937593,87.58941934,788.402982,9.881613314,7063.879659,0.020664856,0.002531752,176126.724,0.480693895,0.720953012,588.9453813,0.001848702,6.884480111,0.537554632,6.420986383,7.192428681,184238.2916,0.270299882,1.593026231,22060.4234,76.19597894,735.140157,6.425035248,4272.895069,0.014800748,0.002439281,0.464933287,370.3136714,0.00117754,68.43598299,1.30E-05,4251.116605,0.266342293,0.009746881,0
CC0061,0.893111586,0.731715054,100.4922374,137.3379389,132.6084462,149.9333185,148.6606875,150.8277163,509009.4583,122.6581045,0.092400096,333653.4391,0.655495558,503202,-0.643077834,0.372361065,83360.9337,5.09868761,0.55049641,2.43189449,1.076344155,0.311082366,-0.147152229,-0.160737375,-1.178088323,2.254432478,0.22629295,0.40701471,0.078218998,83360.9337,0.032357882,0.144007196,570.8015435,106863.7187,405.6063089,202.6105823,67.83771985,0.500274233,6.377314961,4.123033581,26.65802084,0.24591788,0.156730122,0.97501109,0.893895641,-0.045632653,0.590938582,0.162593485,23.17558708,0.001370452,9.907992756,0.50360531,0.003216678,46.35117416,5.865492257,67.61207553,15464.3683,0.032179964,71.54805395,617.9875519,1.148321676,705.8073682,0.004077941,0.003626028,5.379089021,439993.3041,0.915460536,0.954992994,0.051575342,0.96647827,598.1198698,0.003522858,8225.685024,0.030084651,80.15965393,634.3605249,9.312027738,5899.262722,0.025140962,0.003986781,130484.1827,0.47723333,0.71831399,463.527369,0.002990066,6.847095981,0.543356346,5.924908288,7.170565483,138530.8395,0.275298666,1.521111365,16282.55114,70.9272885,616.8332658,6.230801944,3703.059394,0.0190191,0.00360053,0.468167998,298.768309,0.001882398,51.5856905,1.75E-05,4213.018636,0.243567404,0.013403921,0
CC0062,0.897634453,0.712241947,104.4225987,146.6111329,139.4632568,155.9134375,157.276826,159.0345874,542753.75,131.603204,0.078430369,410268.7338,0.755902163,541151,-0.711560933,0.333496719,105643.0487,5.067144929,0.581707583,2.355191749,1.061881493,0.323071848,-0.206485922,-0.225107374,-1.298586328,2.360467821,0.238413716,0.441836134,0.10514639,105643.0487,0.032836869,0.152582733,580.5085223,100849.5863,402.6827376,197.81502,69.19278776,0.483720043,6.418038502,4.136518764,27.52804086,0.245462766,0.156216579,0.974590459,0.893427763,-0.042885215,0.575898411,0.161715201,23.41692881,0.001360007,9.893083272,0.485733456,0.002967823,46.83385762,5.846747865,66.75195195,16943.74306,0.032725947,68.92140181,628.1951225,1.141727141,713.6748432,0.003639704,0.003225232,5.337627413,475555.5136,0.918396495,0.956746325,0.049033922,0.967717613,608.7363092,0.00313001,9437.431713,0.031344326,74.11299695,645.1683622,8.030871271,5282.917612,0.020933645,0.003396041,144155.4716,0.478780266,0.719414884,473.5149608,0.002496381,6.77061261,0.556386295,4.800539326,7.10846262,153366.4908,0.283407941,1.431582212,17769.70467,68.55076434,627.1024187,5.945488413,3609.943448,0.017350493,0.003212696,0.47766092,310.5220417,0.001626911,57.74625458,1.54E-05,4351.208926,0.239437884,0.012104949,0
CC0063,0.874917063,0.685595096,103.3646436,150.7663111,138.5388032,164.477962,165.3269488,168.5259624,492759.9167,131.9080181,0.068418186,440963.6749,0.89488544,492563,-0.449285643,0.443360542,55566.66105,5.084249411,0.514618052,2.292778217,1.044405955,0.279838137,-0.013401582,-0.029033389,-0.949740532,1.994146487,0.209115963,0.3358739,0.114849328,55566.66105,0.032203865,0.112631675,598.4559534,111456.9685,450.099961,211.6365723,72.64761501,0.490728155,6.622507865,4.172211214,28.34644389,0.237835748,0.148386575,0.973363572,0.890368051,-0.043056308,0.58043296,0.154274521,23.74252527,0.001255232,9.960247251,0.492279615,0.002520874,47.48505054,5.889982075,71.07104683,15235.00748,0.032163337,71.00704307,647.1529542,1.12399743,722.9835321,0.003346877,0.002976048,5.328450652,439107.5736,0.92692687,0.961655823,0.042483881,0.971271634,629.5690942,0.002889898,9217.714653,0.031640115,72.88345845,666.737346,5.787632582,3780.919576,0.016087709,0.002970667,144909.6386,0.497407196,0.733174449,498.8414438,0.002164485,6.669512103,0.591457336,2.929034133,7.007999535,151386.9605,0.307345376,1.189257849,15862.43254,70.88043552,645.7951653,5.177061614,3186.619429,0.015446229,0.00297675,0.508999055,341.928559,0.001505119,56.54620197,1.58E-05,4584.963279,0.260873428,0.012673544,0
CC0064,0.85427085,0.708088379,102.9022617,145.3240369,134.8480626,153.7693077,155.9775625,158.0727681,548983.3333,124.1460886,0.085960189,377189.4473,0.687069032,546032,-0.748431499,0.310218083,117876.4443,5.13027432,0.5798831,2.366491253,0.926658538,0.324524996,-0.2468885,-0.276308572,-1.339640654,2.266299191,0.238314382,0.464627024,0.147296991,117876.4443,0.03157104,0.15492434,627.4999019,116723.9869,608.1012545,213.3313653,76.11888852,0.476016032,6.788922518,4.204837695,29.52218392,0.234236481,0.145262261,0.972182055,0.888029164,-0.039992692,0.561804425,0.150714683,24.35562062,0.001262145,10.01204388,0.479158563,0.00294382,48.71124123,5.895665853,72.36256345,16456.324,0.031416468,76.0171621,682.6416207,1.132285332,767.8590511,0.00331151,0.002963027,5.388951908,483372.7755,0.922709271,0.95930092,0.045453486,0.969530791,662.9995192,0.002882209,9256.824198,0.029565922,83.38858127,705.3192906,6.354159014,4349.647569,0.015887453,0.003152928,152954.3567,0.488530033,0.726720298,524.1520149,0.002367823,6.802155574,0.573393134,3.312608576,7.096730677,160949.2989,0.29476166,1.289635001,17238.79822,75.49899633,681.0830849,5.525723767,3584.895246,0.014624952,0.002949966,0.49326312,350.7982894,0.001568265,59.0903548,1.55E-05,4439.596874,0.276570897,0.011612595,0
CC0065,0.804335963,0.705062224,107.4802664,152.4408239,136.341483,161.1241757,164.1493223,166.5773094,584374.375,122.6136369,0.079002197,427863.9829,0.732174444,581784,-0.678899219,0.369281701,111392.2565,5.090616033,0.562558049,2.435844847,0.9631497,0.320022119,-0.198004325,-0.241169602,-1.332249379,2.295399078,0.232655261,0.437569068,0.238386446,111392.2565,0.032931011,0.152260977,654.1113579,107578.3034,724.2704873,202.3307923,74.54497249,0.463653779,6.624030628,4.186327599,30.17119787,0.24376543,0.155597527,0.97280474,0.890782471,-0.039288298,0.555484406,0.161093422,24.94321642,0.001396147,9.938017989,0.465888749,0.00365482,49.88643284,5.853153847,69.2189412,18188.28978,0.032689156,72.99626846,710.1501577,1.143194802,803.8777483,0.002940875,0.002600747,5.365209226,510710.325,0.917767596,0.956359035,0.049601189,0.967449436,688.8409134,0.002522827,9711.092291,0.029980928,81.8737505,745.899197,8.876270804,6789.735453,0.018218708,0.002729062,158366.7667,0.488923638,0.727024679,559.7580927,0.002023325,6.800367873,0.556751303,5.650173101,7.126197574,163717.7482,0.281406412,1.495193282,19158.73556,72.34562482,707.7211181,6.051988367,3997.784399,0.014358123,0.002591258,0.480879328,362.7111058,0.001315851,60.62409774,1.45E-05,4387.951105,0.260068509,0.010955714,0
CC0066,0.86549892,0.659584126,99.8609542,151.399875,138.2931669,160.3652082,163.3676835,166.8861888,552398.75,131.0364283,0.081103052,401435.1397,0.726712614,546561,-0.822311888,0.246348667,141912.859,5.082727433,0.579144346,2.415036832,0.911675766,0.327270254,-0.317915426,-0.350191349,-1.46224847,2.373924235,0.238893779,0.509555572,0.183198873,141912.859,0.032825097,0.158576663,625.5896416,103179.5784,642.4047141,198.3193436,70.27013034,0.478734869,6.49161255,4.148242938,27.65525041,0.243034325,0.153879099,0.974175156,0.892302802,-0.041295203,0.567273128,0.159481283,24.36343433,0.001388509,9.90250629,0.481647631,0.003379873,48.72686867,5.84301346,67.14736849,17075.01686,0.032638641,70.97834714,677.329079,1.140069247,766.9220634,0.003127713,0.002775682,5.352466524,480847.9654,0.919021085,0.95716475,0.048328714,0.967982852,656.8469721,0.002694615,9299.440084,0.030434587,78.74629186,701.8877813,7.582369786,5246.855689,0.017569416,0.0029281,147942.5608,0.484176534,0.723496654,520.350932,0.002172717,6.791526559,0.559050133,4.382749151,7.100693333,155601.3535,0.284691651,1.407925518,17940.91795,70.43240815,675.7138837,5.875722929,3788.507984,0.01477777,0.002764782,0.481407714,340.867086,0.001417095,57.00244394,1.55E-05,4335.081882,0.248669311,0.011823301,0
CC0067,0.836915927,0.716854569,108.0727466,150.7596538,135.856542,157.1782428,157.8923684,160.5241415,427753.1667,126.1731554,0.062981831,435910.8368,1.019070975,431230,-0.563922351,0.356200473,55430.18421,5.083744197,0.527696421,2.291441039,0.944823994,0.287494927,-0.09680541,-0.092258955,-1.111863654,2.056687648,0.214569758,0.358524367,-0.054786968,55430.18421,0.032184466,0.119168434,655.3731485,102656.8562,-113.9039018,201.6561159,85.8540924,0.404801131,7.301799142,4.292748335,32.11229618,0.220342156,0.132274446,0.968771737,0.880620297,-0.028536242,0.487094197,0.137589874,25.02842462,0.0011435,10.05754134,0.407991821,0.002054255,50.05684924,5.862100061,71.87755207,13424.22027,0.032163165,70.61157006,704.6409775,1.102631835,776.091389,0.002926951,0.002660889,5.295460457,391679.2272,0.938363125,0.967880606,0.035046045,0.975947777,687.8913526,0.00259847,8841.513577,0.031811673,72.21890725,708.2959346,4.0137803,2846.521194,0.010150235,0.002701061,148720.799,0.535095865,0.760043017,540.652003,0.002070943,6.507232878,0.644512209,1.606438801,6.849243978,148670.2161,0.344758519,0.943576727,13878.90729,70.51478701,704.3708114,4.311184287,3009.472576,0.011229733,0.002658731,0.559688398,397.2445677,0.001514945,49.81219593,1.62E-05,5125.184123,0.290068258,0.012833227,0
CC0068,0.79023977,0.673915756,101.8932045,151.1957594,128.4250754,159.1540135,162.2621336,164.1523682,462910.0833,119.4809021,0.073835014,391939.9409,0.846686981,462166,-0.76232836,0.258709225,103576.6533,5.092365941,0.574049644,2.350256758,0.862933184,0.31728133,-0.278484293,-0.30917188,-1.39961178,2.262544964,0.234727306,0.473404019,0.154942121,103576.6533,0.032400373,0.146557864,656.0294535,107317.0324,567.3621639,204.5097597,78.28329769,0.448399985,6.850262864,4.224348979,30.88353231,0.235115884,0.146714957,0.971487739,0.887370371,-0.036031828,0.537415005,0.152338802,24.98944061,0.001273118,9.993460496,0.450939747,0.002946857,49.97888122,5.86586807,70.69826436,14341.83833,0.032281883,72.01395055,712.2673412,1.125606546,796.0480332,0.002870684,0.002566302,5.340183412,411624.6276,0.926424869,0.961270326,0.043210866,0.971049864,692.9402445,0.002495787,8421.497725,0.030851367,76.87764051,737.3271568,6.012961131,4304.307495,0.01362542,0.002645172,137346.15,0.503154742,0.737422506,556.6268354,0.001980197,6.692677192,0.590631937,3.146367406,7.020695141,140844.1153,0.304747894,1.225930808,14974.35071,71.66572847,710.5236582,5.253865494,3535.011781,0.012759155,0.002560968,0.510008769,379.4383398,0.001353306,51.83606573,1.69E-05,4672.448425,0.27206311,0.013026063,0
CC0069,0.862627189,0.729188537,104.7104624,143.5986128,132.6197572,153.0555455,153.4438008,156.5918261,510309.875,123.8720677,0.078002108,395913.6131,0.77582981,508687,-0.647449995,0.354041888,87525.94759,5.086526658,0.548662992,2.375421957,0.909100344,0.307988568,-0.180758815,-0.215970579,-1.298690261,2.207790605,0.226066522,0.414804149,0.186379132,87525.94759,0.032683194,0.139388732,682.7628729,105079.4159,616.7156023,201.2617607,75.02208035,0.459219398,6.701797136,4.192925546,29.58464183,0.239136833,0.150657921,0.972567319,0.889435421,-0.038110267,0.547616545,0.156239835,25.51867161,0.001336844,9.946114263,0.461819236,0.003290926,51.03734323,5.853186415,69.07096027,15856.86554,0.032509587,72.05773624,740.085679,1.134417947,833.1827028,0.002643841,0.002346489,5.347306495,449904.3851,0.922278652,0.958851226,0.046515407,0.969319977,718.8205832,0.002278223,8877.279142,0.030471768,78.8531865,768.9333432,7.206849324,5572.054986,0.014525196,0.002418333,144058.0035,0.494487325,0.731108948,576.900287,0.001788891,6.743267764,0.572705809,4.157993954,7.069107024,148979.7755,0.292871207,1.351117323,16625.51602,71.57286892,738.137733,5.635471321,3938.855125,0.012452279,0.002341194,0.494413169,383.7927063,0.001196996,52.9463827,1.62E-05,4496.272932,0.260831624,0.012326549,0
