sub,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength,outcome
01016SACH,0.797962861,0.617113238,81.56794163,132.1766195,124.2577965,143.1782106,143.586211,151.1059231,236132,105.4720335,0.131565236,140425.5737,0.594690993,237647,0.807552319,1.68940116,384850.7397,4.419106558,0.471333001,6.490879194,2.784110065,0.335383671,1.173262056,1.202863869,-0.758489587,3.542599653,0.198943195,1.272565059,-1.543498499,384850.7397,0.05831166,0.242877978,839.0619265,236725.0162,-4205.00906,182.4731001,8.977753011,0.906246989,2.051541297,2.689315264,4.714068514,0.481243571,0.417729245,0.996500149,0.962140848,-0.238626518,0.934662877,0.388872365,28.207891,0.007584486,7.775772399,0.979705706,0.02283148,56.415782,5.339471226,47.86271327,11391.63307,0.057310196,49.08597804,816.6341194,1.71165658,1408.678645,0.007838878,0.004779729,5.200547018,146059.1597,0.733866435,0.836384994,0.27816918,0.880616151,717.4644077,0.004228908,2034.775618,0.054639517,46.26084833,777.2995972,10049.74444,8462630.997,15.79245138,0.00437185,13160.75285,0.353403675,0.616479862,476.9193517,0.002534866,6.876518669,0.156703009,10009.02092,7.931656431,23451.14674,0.098680592,11.28294131,13857.59115,48.33606948,819.0329354,38.88735393,32404.65653,0.15801678,0.004725595,0.156699884,123.4916079,0.000683988,9.088320689,5.62E-05,1567.388423,0.054696319,0.079441737,1
01038PAGU,0.847418645,0.671047645,86.00958388,128.1720971,129.6919427,138.3112432,150.2830662,154.8967398,289721.5417,108.6154248,0.151675271,139601.4314,0.481846916,292861,0.871370201,1.66426368,470421.6384,4.188928328,0.411129952,3.788806397,2.672510944,0.245138639,1.229565863,1.184612069,-0.616528674,3.289039618,0.175678955,1.267397583,0.450659829,470421.6384,0.064222433,0.094464421,846.757431,18776.6489,307.5285724,76.5855457,10.43518591,0.760187867,2.287863748,2.804049198,5.168033877,0.445816252,0.373514482,0.995936693,0.957918563,-0.166597681,0.864700013,0.365634942,28.81352364,0.007491347,7.693769135,0.796109374,0.019554862,57.62704729,5.104310921,21.7551829,15839.94113,0.062935675,22.53003987,843.9442971,1.566328389,1295.567519,0.002301584,0.001502224,4.888447448,191855.4013,0.761825104,0.859373559,0.21067281,0.895442206,759.4066992,0.001354885,2705.303267,0.052794646,32.22798758,875.0309121,15935.63204,11961210.18,22.14790701,0.001878518,20620.14047,0.402407019,0.659306368,573.7722314,0.001265873,6.551135081,0.174970378,15902.96792,7.475323046,32735.70939,0.111778999,7.628963553,18808.24585,21.87050442,838.1076449,29.30997641,22972.12074,0.041491113,0.001489263,0.178638497,155.2112247,0.000314141,16.49262852,3.63E-05,1591.477964,0.037816744,0.041204258,1
01039VITE,0.746247082,0.644278452,88.5601646,137.4563503,132.5443322,164.9060338,166.4331698,168.0357105,314774.375,102.5764004,0.142232665,157332.2277,0.499825399,318842,0.807653178,1.486620384,428362.3166,4.533707848,0.351608018,4.043299611,2.298956149,0.221790482,1.12217047,1.110763538,-0.174424388,2.473380538,0.1491553,1.15909189,-0.336112473,428362.3166,0.053743235,0.084227444,753.6964279,65113.58488,-619.0550951,126.4883084,15.58811141,0.780880773,2.723813046,3.044559124,8.080419641,0.423865147,0.350027109,0.993997793,0.950867438,-0.17389182,0.887147321,0.340133847,26.94383664,0.005593904,8.324862433,0.789139618,0.020409502,53.88767327,5.473527534,35.51910495,14486.81059,0.052335086,35.68971334,747.2593656,1.529546686,1147.58295,0.002875721,0.001993741,5.204452378,215398.4261,0.777578891,0.868109983,0.20049924,0.903236043,673.7008959,0.001828575,3024.363515,0.044339655,46.2344976,706.032679,6802.606811,4844883.662,9.996528529,0.00249066,26869.59156,0.393930296,0.652000702,456.4940599,0.001615265,6.909851602,0.213927274,6780.755994,7.789271703,37440.8696,0.117427659,8.163120198,17135.60063,34.3914458,748.6912609,27.78040534,20914.93716,0.044876296,0.001952742,0.206016352,147.3736161,0.000484741,15.56219846,3.63E-05,2023.499602,0.051643853,0.0416264,1
01040VANE,0.816885465,0.658483939,78.03636913,118.5091457,113.7189518,123.9677377,138.9280389,141.1311447,231913.625,96.80839865,0.166630854,109550.1261,0.472374687,233667,0.782689509,1.410986166,277960.1465,4.617402612,0.338313585,3.1315607,2.18427436,0.198041796,1.062408912,1.024342069,0.214805992,1.969468368,0.139918171,1.090668008,0.610638751,277960.1465,0.048275038,0.060844008,528.1859958,56813.50854,937.8169348,138.3044488,17.57035221,0.774529855,2.874392428,3.108036442,9.24057936,0.409908904,0.33261299,0.993305534,0.94844399,-0.169633233,0.885936385,0.326621846,22.31594291,0.004749711,8.450288186,0.787647867,0.017298447,44.63188582,5.53611002,38.96870025,9669.326562,0.047194529,40.19380673,528.2976385,1.481870233,765.2440147,0.003956256,0.002683228,5.24788202,161805.8168,0.789298884,0.876784221,0.179572675,0.909127959,482.7768924,0.00244507,2191.09357,0.040566041,51.79010853,545.3499713,4907.509766,1987495.627,13.47485887,0.002972938,23169.50084,0.428961562,0.681144328,364.2985756,0.002113014,6.815465641,0.231153736,4888.794407,7.797066801,28824.49593,0.123357153,7.234020355,11280.28327,39.19802958,524.3098384,24.90435962,11941.28073,0.066604675,0.002676865,0.224426715,120.7913604,0.000661177,15.91605219,4.78E-05,2335.701874,0.066388113,0.053532119,1
01042GULE,0.809051846,0.644271254,85.16081359,132.1816129,126.4792473,158.0126577,158.113883,159.4333717,325543.4167,106.941778,0.16282897,140548.126,0.431733891,328353,0.787887316,1.453002543,418292.5507,4.254546006,0.359816434,7.084124142,2.270767165,0.233412299,1.08037057,1.08228258,-0.825834873,3.096602038,0.149004963,1.128676729,-1.191524792,418292.5507,0.066430517,0.10671059,1010.107501,88448.13165,-1565.909101,111.5925203,7.628165159,0.872277355,1.832507434,2.557883692,4.236536696,0.511699455,0.455679523,0.99702284,0.966051627,-0.250491104,0.93809249,0.412311617,31.3706175,0.010053988,7.511104944,0.91763344,0.025695271,62.741235,5.227209929,29.80517136,16951.40772,0.064362542,29.94609585,1001.393295,1.941740176,1964.253278,0.002518595,0.0014577,5.18475324,182077.7264,0.690377649,0.802044657,0.382293008,0.856847817,855.1559739,0.001289863,2377.687541,0.055767134,41.45568005,951.8924618,28801.30451,29053544.33,29.5493341,0.002221121,16411.65672,0.384924869,0.644442286,611.1618555,0.001480931,6.732080355,0.12984806,28741.99435,8.005523715,26733.70777,0.081417583,15.24935408,21812.65957,27.95046329,1005.525237,53.0329828,54301.51011,0.057932193,0.001395812,0.134953763,129.9805192,0.000274877,11.08762523,3.98E-05,1538.917498,0.029388546,0.063710515,1
08002CHJE,0.902648131,0.713153127,86.87430143,121.8171779,132.5028302,144.5164351,142.0880009,146.9625803,329952.4583,109.958048,0.169199825,136474.5884,0.413618947,331633,0.823370725,1.778272154,578943.1444,4.159808787,0.509207685,3.438215038,3.188566885,0.295960427,1.26859935,1.2337078,-0.955443927,4.144010812,0.210232066,1.321262436,0.272600634,578943.1444,0.064377516,0.136390114,776.8356228,17385.85245,182.5372358,74.36846725,5.931056344,0.852376063,1.5685747,2.37276334,3.446382845,0.548648943,0.501261169,0.997681074,0.97074172,-0.274348691,0.946061797,0.435930982,27.56312225,0.01097775,7.19161158,0.859923077,0.025581582,55.1262445,5.110714485,20.0748809,16140.8324,0.063247153,20.60592524,774.0259627,2.172636669,1635.708372,0.003410609,0.00159838,5.188058248,165089.2699,0.645519282,0.769461794,0.474911404,0.830826106,646.3513521,0.001338324,2132.255011,0.061579594,25.8053414,725.3746895,47420.18064,34011673.64,70.15677422,0.002006208,14021.72841,0.40494797,0.66098235,473.8699844,0.001326212,6.36291364,0.104410598,47328.45076,8.063452017,23520.01615,0.070921821,17.46592177,21349.70871,19.94127858,767.1128326,66.38186489,47990.25323,0.103120998,0.001585009,0.11229701,83.59843148,0.000209596,11.82252252,4.47E-05,1287.066419,0.019188288,0.05909543,1
08027SYBR,0.842144019,0.676032066,84.02677296,124.2940641,122.3315168,140.4563989,144.3121616,150.8277163,347198.9583,104.6735026,0.170049236,140484.4904,0.404622442,349506,0.791280928,1.602868816,529297.1609,4.495184094,0.452998511,2.706545402,2.618804015,0.255731139,1.190109179,1.174871237,-0.217427747,2.836231762,0.185282109,1.230615737,0.236066051,529297.1609,0.050080836,0.098055233,683.4875298,32369.97012,251.3024074,109.8059336,10.78044625,0.821205853,2.126152646,2.725385406,6.221234584,0.483164531,0.421953583,0.995849161,0.961186402,-0.232908325,0.934128142,0.397576573,25.66573436,0.006425075,7.931555574,0.82822529,0.014165777,51.33146873,5.418587256,30.14659496,14306.41035,0.04964811,31.10294933,672.3228866,1.771176681,1183.500548,0.00323755,0.001843343,5.316221324,206136.6367,0.714569641,0.824463011,0.296626463,0.870409211,585.3691013,0.001610766,2573.119635,0.048310609,35.8542365,615.8978071,23007.77714,15202252.64,38.54658763,0.002154843,23870.25305,0.448166668,0.696111294,421.0125701,0.001535037,6.458785518,0.152392234,22964.71711,8.099123531,31311.56089,0.08958805,11.41307055,17503.55252,30.56070281,671.332083,42.37074042,27746.70193,0.077254077,0.00183597,0.158558931,100.0909851,0.00032875,15.50284986,3.98E-05,1775.405319,0.038977614,0.043739561,1
08029IVDI,0.732850482,0.651605907,88.11421285,135.226234,123.4908904,160.9005904,158.9119253,164.5782489,332235.0417,99.10061072,0.159230935,145686.8331,0.438505319,335731,1.618375797,2.253906016,1276208.587,4.442919852,0.330316363,3.502400847,3.192557743,0.200063832,1.93292904,1.93325396,0.780727775,2.411829968,0.137378637,1.949687957,-0.106072468,1276208.587,0.054835487,0.065068459,627.7321202,36611.83795,-215.1244337,101.584984,12.62052357,0.77921072,2.438158576,2.899027936,6.608115493,0.445062094,0.374938739,0.995112925,0.955614631,-0.184119369,0.893451773,0.363159398,24.60670236,0.006120023,8.087581498,0.786033857,0.014356645,49.21340473,5.367711459,28.5513769,15460.74423,0.053950646,28.95133701,623.0159177,1.601954873,995.9865572,0.003316581,0.00213078,5.163957373,216537.6143,0.754917999,0.853555605,0.226813693,0.891771898,555.556461,0.001915258,2914.229307,0.048505007,37.5178089,594.9205073,14465.47696,9049049.681,24.49453832,0.002484197,24730.78166,0.411624002,0.66695158,392.703234,0.00165263,6.716347007,0.178955771,14434.25151,7.820148243,35753.73528,0.106495186,8.65859894,18409.97278,28.05031753,622.7602664,31.77117692,19529.15573,0.062064515,0.002108557,0.180698379,108.8573495,0.000428423,16.6519556,3.64E-05,1904.174877,0.038588713,0.041984246,1
08031SEVE,0.822179126,0.689032053,87.83249425,127.4722908,122.6906679,151.0099334,148.492424,151.9572308,324984.8333,104.8050566,0.172547708,132480.0019,0.407649799,327185,0.763276445,1.577038191,478480.4457,3.292335831,0.449098541,5.885906971,5.462514683,0.256958437,1.165383782,1.16602283,-1.198022958,6.660537641,0.184354901,1.209303764,-0.074553216,478480.4457,0.116817734,0.104296233,342.9528798,2027.462034,-22.58479574,20.56149893,2.516128648,0.781886858,0.990281607,1.891614865,1.525983572,0.650810533,0.62387099,0.999003757,0.98112551,-0.266959204,0.90641948,0.446873233,18.39677337,0.03041695,5.678991795,0.983941382,0.065356222,36.79354673,4.191656598,5.769406893,24506.66522,0.113360638,6.461696251,338.6530622,3.399751059,1146.88824,0.010992978,0.003380029,4.715903419,115555.8068,0.53262796,0.6607123,1.086862059,0.757680969,255.9069714,0.002609513,2068.004254,0.107283889,10.73013074,304.9658124,192960.8345,65666496.95,587.2298607,0.004536826,6749.28647,0.350139369,0.613510556,187.8193079,0.002769485,5.919222953,0.058914681,192672.728,7.641030704,16529.28883,0.050519702,31.37817393,38221.01019,5.959157685,338.7581827,127.8396473,42921.39638,0.40543619,0.003309592,0.067331958,21.33653305,0.000276398,18.43812672,3.88E-05,903.9334223,0.004316026,0.098720846,1
08037ROGU,0.844312861,0.679737537,87.74028988,129.0796596,126.589889,140.8580846,152.4631103,158.9622597,371101.1667,108.9836166,0.150802526,165603.8343,0.446249835,373493,1070.693433,1351.290015,5.47E+11,4.203283713,145.024292,3.253097573,1945.389282,87.14247822,1205.359146,1200.103149,724.4550781,1220.934204,60.48505833,1210.370643,0.339138166,5.47E+11,0.06389369,12106.42315,435.3980286,16312.12818,199.0326866,72.18207855,9.086577468,0.776561674,2.025457785,2.674682409,4.942545884,0.487775885,0.426593996,0.996462422,0.962687078,-0.198018459,0.896828046,0.397498376,20.48471041,0.008581406,7.57568006,0.806512774,0.020511045,40.96942082,5.115250439,20.31716401,19292.96123,0.06276578,21.09505444,428.3047443,1.787104544,762.9398446,0.005162095,0.002969367,5.038788888,219739.7896,0.71396875,0.822945709,0.306444921,0.869990226,372.3725944,0.002607914,3175.139522,0.057999772,27.39788252,390.9094695,23930.79616,10222207.99,60.56390507,0.003750859,22303.47253,0.407414009,0.663434845,256.0170385,0.002599622,6.465420115,0.146573028,23884.24914,7.811156691,33492.16867,0.089672815,11.91802024,23863.84586,20.38764027,428.1683378,43.31624154,18234.78203,0.121015714,0.002936166,0.151265531,60.81005714,0.000540994,22.16847378,3.32E-05,1599.20771,0.025882958,0.042477974,1
