sub,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength,outcome
CC0060,0.852189678,0.694083742,93.23278247,134.3249767,137.0583817,157.4325252,163.4166454,165.9096139,456859.375,114.4703586,0.131066598,218867.0873,0.479068832,461880,0.853970967,1.310120642,567788.129,4.59125997,0.236901374,3.036148688,1.845379639,0.141285817,1.094440573,1.106891804,0.334915405,1.510464234,0.098460263,1.108737089,-0.256320439,567788.129,0.048656584,0.031497765,692.8667438,27712.73893,-322.7604981,90.44253235,39.37008072,0.393338609,4.84180014,3.752045048,15.84666077,0.285087389,0.191831127,0.985082,0.916186689,-0.030654787,0.484063543,0.198801414,26.0786811,0.002937261,8.946543066,0.423469899,0.006458576,52.1573622,5.277555664,32.45315327,20838.08347,0.047982566,35.30160067,690.4710212,1.200794741,834.9123801,0.00227923,0.001944819,4.949041461,385937.2783,0.888605879,0.940254212,0.069533743,0.955163624,658.3092051,0.001869495,7962.135942,0.040091319,46.62489298,665.3504381,52.53918429,39751.71817,0.074571886,0.002215336,89071.3509,0.448496228,0.696543202,458.6650958,0.001617832,6.672416735,0.429981813,47.13039795,6.879238811,102832.1159,0.222638166,2.102891207,22473.50282,34.60326073,692.1414112,8.622694206,6221.896023,0.014300441,0.001928509,0.382585611,255.3048709,0.000846074,37.85695585,1.58E-05,3865.540183,0.09910606,0.014987591,0
CC0061,0.899797938,0.701841975,82.01632505,116.8586775,125.2517465,144.7342392,142.6884719,144.8516482,298342.25,105.1491971,0.132873519,162500.8098,0.544679172,302442,0.854100052,1.346625364,390669.4041,4.651564069,0.253791776,3.277924147,1.861788306,0.15349318,1.119877838,1.142569612,0.306242727,1.555545579,0.106008129,1.136537185,-0.499080076,390669.4041,0.047299946,0.0375904,758.4651833,46669.89527,-783.0371031,111.3401366,32.40279129,0.549010049,4.350310057,3.613999694,13.40179944,0.305698915,0.213127979,0.987639242,0.923845486,-0.059698821,0.643564261,0.220639258,27.17956375,0.003127067,8.906743103,0.608714339,0.00734477,54.35912751,5.39086475,35.93573197,13172.776,0.046633108,39.57096059,746.5869392,1.224825083,924.0558026,0.002351863,0.001976356,5.037770979,248017.1544,0.877911978,0.933987089,0.078265332,0.950500228,707.7016213,0.001892564,4721.910949,0.039327628,49.76606804,705.0985208,188.10904,171176.762,0.217320314,0.002298959,53496.96405,0.445562974,0.69427159,483.589346,0.001659353,6.756627618,0.396988514,181.7638575,7.062640679,62334.20426,0.206103002,2.456781373,14305.49038,38.91078556,749.2994293,9.835260976,7801.402345,0.01623649,0.001956801,0.357749155,254.1264195,0.00081159,21.72675633,2.66E-05,3452.850392,0.100459178,0.025978371,0
CC0062,0.882670024,0.682859308,86.05903873,126.0274813,131.1030129,148.7884404,152.0690633,154.3696861,371173.4583,111.24068,0.136270784,183287.4145,0.493805283,374771,0.851905974,1.38329586,497829.3413,4.470570729,0.27166455,3.495802004,2.130259956,0.166165637,1.132872542,1.151943166,0.186935718,1.943324237,0.113500286,1.152543315,-0.436362066,497829.3413,0.05406968,0.044955896,651.2408592,29377.74029,-495.0212277,84.06209602,26.77921911,0.516505659,3.953908086,3.48434326,11.07839507,0.322586131,0.230625545,0.989705046,0.930020945,-0.056633085,0.620405347,0.237891087,25.2372506,0.003928364,8.580163067,0.672420084,0.00909146,50.47450119,5.194501228,27.71032878,18472.52949,0.053223393,30.41696888,645.2077788,1.25566963,815.828623,0.002702712,0.00219646,4.893213292,300074.6357,0.864461069,0.926102566,0.089452821,0.944564049,608.3131707,0.002086135,5800.466862,0.043920638,40.22939739,621.7762424,824.6517828,580383.3478,1.195577748,0.002445903,56253.69672,0.425948168,0.678708907,419.6201984,0.001678284,6.687658735,0.352393862,816.5990492,6.989748065,71120.96052,0.189771782,2.793419844,20263.74806,29.8287006,646.7842256,11.32760806,7593.591663,0.02206676,0.002180779,0.321561537,201.1769281,0.000770163,28.60058028,2.11E-05,3068.611604,0.072454415,0.0211336,0
CC0063,0.86270646,0.694267276,89.98351202,129.6093235,132.4235629,156.8948693,161.0124219,163.5389862,371829.125,111.8148007,0.128915814,193972.5164,0.521671121,376076,0.921313215,1.441534396,547777.4892,4.615611922,0.272761601,2.911517233,2.141835263,0.161130508,1.189952531,1.197397398,0.446798746,1.695036516,0.11313387,1.20688053,-0.080626876,547777.4892,0.04737791,0.040573587,536.9574801,28826.77645,-154.647546,95.18028725,40.03104507,0.40779622,4.883353431,3.761822528,16.06035921,0.283833637,0.19069715,0.984840489,0.915559037,-0.033429409,0.500562368,0.197705384,22.87287975,0.002764374,9.010393045,0.415816082,0.006153154,45.7457595,5.327090682,33.80283308,16583.35906,0.046832482,36.01239546,537.1333461,1.195874159,645.7407705,0.003246706,0.002789006,4.965594784,315479.2335,0.890845734,0.941565616,0.067723604,0.95612378,512.8439522,0.00268557,6684.252321,0.040408741,46.11708845,522.3571541,47.5769454,25849.17558,0.096880868,0.003214684,73397.42215,0.443714164,0.692760514,357.4077617,0.002367337,6.671291066,0.439847265,42.40806827,6.898783792,85282.00817,0.226768015,2.039792497,17817.69483,35.38038782,538.1232437,8.386634616,4655.462781,0.019559028,0.002763104,0.387748206,202.3386921,0.001253245,36.32816088,1.98E-05,3749.022795,0.105052693,0.018223758,0
CC0064,0.836438852,0.692596209,85.58597103,123.5726819,125.7179383,146.0308187,149.9066376,151.198545,324770,103.3609921,0.131929793,173190.945,0.533272608,329106,0.86680959,1.384647537,439162.8699,4.618343966,0.272413431,2.887499035,2.008683591,0.160443855,1.13771383,1.150207421,0.334693232,1.673990359,0.113094062,1.155167355,-0.190567647,439162.8699,0.047213507,0.040018859,638.7381906,29650.44126,-295.6687876,96.13171192,39.71368428,0.415325857,4.867157484,3.758031617,15.93450677,0.284135783,0.190944167,0.984951208,0.915790434,-0.03395017,0.507760446,0.19820849,24.99264696,0.002786616,9.000976602,0.43381132,0.006340862,49.98529392,5.325689072,33.96134905,14457.64699,0.046645237,36.40898,633.6469417,1.195145862,763.0419894,0.002554788,0.002189574,4.967196545,276298.3474,0.891362063,0.941792894,0.067577642,0.956346227,604.7834809,0.002107134,5840.664286,0.040228008,46.29602444,609.5972353,78.40810254,54405.14028,0.119162152,0.002479878,65271.94296,0.449565346,0.697339698,420.3161872,0.001804633,6.646439371,0.441161814,73.26998338,6.89132982,74783.44282,0.227232086,2.044829144,15538.24841,35.78295478,635.3115106,8.361932022,5564.245969,0.015558889,0.002171488,0.390367533,238.5521454,0.0009653,28.24749915,2.25E-05,3876.148546,0.102347171,0.021252281,0
CC0065,0.791549867,0.677098445,88.5024046,130.7083265,131.7459677,154.3016526,157.6895685,160.0562401,348359.0833,103.4621585,0.127505599,187775.8032,0.539029444,353076,0.935956461,1.433381999,524828.3114,4.56345378,0.253607574,3.287400663,1.996259985,0.153927596,1.203514899,1.224262931,0.326341257,1.669918727,0.106017818,1.219198805,-0.454581708,524828.3114,0.05033401,0.037997616,760.1090146,33368.79987,-576.8912567,92.23829564,32.64658079,0.476936279,4.390182611,3.622382224,13.3060332,0.302826769,0.209871243,0.987532795,0.923144911,-0.045222765,0.571225995,0.217026044,27.29851415,0.0034103,8.78525745,0.57180849,0.007975898,54.59702829,5.259726222,31.22121911,16343.59131,0.049508519,34.8349604,747.9422831,1.22113699,922.2904114,0.002169882,0.001826161,4.946360509,290415.1467,0.879650566,0.934972597,0.07701886,0.951262629,709.6707119,0.001749747,5785.823929,0.040825452,45.65862007,708.4385236,177.3907748,149899.6919,0.216932298,0.002108455,63862.23396,0.450619414,0.698185895,488.1789825,0.001525123,6.65915435,0.401389503,171.1839716,6.937627584,73546.7823,0.208302978,2.403174343,17771.73108,34.13988652,750.4832586,9.643107999,7632.636228,0.01481441,0.00180888,0.362275586,258.2095823,0.000753915,25.99909693,2.16E-05,3563.881566,0.089704678,0.021469063,0
CC0066,0.879738962,0.648784604,82.92805852,127.8206327,130.7822618,154.3794028,156.6971602,160.1749044,375796.9583,112.4487908,0.132415298,190187.2811,0.506090528,379350,0.814444194,1.357397941,479267.4344,4.606102061,0.284187271,3.023615008,2.003659684,0.168896462,1.103929182,1.123744145,0.233961448,1.769698235,0.118127242,1.124006741,-0.356251638,479267.4344,0.048108012,0.044731515,669.0647905,32612.24365,-502.7189112,97.55645207,36.28462265,0.457711911,4.637409992,3.695126607,14.69840598,0.293058425,0.199948452,0.986201506,0.919327247,-0.041115365,0.551254522,0.207082334,25.56843966,0.003009283,8.920391014,0.493676847,0.00691165,51.13687931,5.314446007,33.46026868,16884.21475,0.047454949,36.45069921,662.6801287,1.209670355,809.0404681,0.002513111,0.002138944,4.974248794,314738.602,0.884529137,0.937906135,0.072713544,0.953397398,630.274043,0.002054887,6311.906414,0.039993831,47.06979897,631.14178,86.26732648,64439.4252,0.123037155,0.002501083,70198.16438,0.444793276,0.69367668,432.5134564,0.001833888,6.703345526,0.416032687,80.48975814,6.940436201,82113.84815,0.216459333,2.228314999,18249.77421,35.79566416,664.8028575,9.063614077,6358.623145,0.016070802,0.002117457,0.371833412,235.8721239,0.000926793,30.53449959,2.00E-05,3701.119176,0.097959445,0.019204049,0
CC0067,0.862715375,0.737448246,94.57751194,128.249694,134.8925498,151.3439791,152.0690633,155.8813651,379451,110.6429829,0.128147212,197793.5372,0.521262395,382345,0.79247959,1.371127891,467674.8576,4.608356559,0.306049631,3.009039381,2.132245176,0.18073799,1.082552557,1.082867721,0.212776785,1.919468391,0.126649833,1.105972437,0.02877006,467674.8576,0.04779361,0.051254994,562.5843348,30458.72155,-62.46437365,98.42964031,41.1677201,0.410414596,4.993841589,3.782756405,16.09218738,0.277840159,0.184297379,0.984400028,0.913732951,-0.032936943,0.498393218,0.191190479,23.41508255,0.002604118,9.066243697,0.418632212,0.005443578,46.8301651,5.354954508,34.8993401,17097.95738,0.047375847,35.39763624,571.170671,1.186706584,677.5616377,0.002897655,0.002480812,4.946691207,322906.628,0.894637538,0.943915735,0.064169794,0.957770454,547.0921127,0.002386126,7143.298942,0.041568026,44.48171195,573.877687,21.80711218,12230.91189,0.0456389,0.002711851,73575.65738,0.428148792,0.680391094,391.1111045,0.001931393,6.705795381,0.449452719,16.85680698,6.855867037,89884.22705,0.235086707,1.835211421,18273.64778,34.86414566,571.1033857,7.877913926,4494.167697,0.017591902,0.002467127,0.390899307,224.1449937,0.00106694,35.62507323,1.91E-05,3883.668041,0.099446248,0.018608364,0
CC0068,0.762852112,0.661124919,87.22003718,131.9267125,125.7815567,153.2220611,157.1655178,158.7639758,362496,100.6405713,0.132584817,185435.3281,0.511551377,365199,0.789502743,1.349445896,444053.3749,4.676209839,0.296434218,2.877420083,1.969834722,0.173842547,1.081244425,1.09430555,0.230539572,1.739295151,0.122738154,1.102688379,-0.219447489,444053.3749,0.045267777,0.046832155,660.4952052,37009.62726,-381.5842464,107.6531295,40.51396797,0.45305154,4.929173084,3.772712394,16.12390715,0.281384119,0.188061326,0.984651586,0.91480591,-0.039594749,0.546432833,0.194990197,25.37141164,0.002564716,9.098380929,0.479500091,0.005629532,50.74282328,5.406531422,37.04177437,15419.20742,0.044803543,39.37339904,660.0135554,1.192639694,792.2920816,0.002537979,0.002174139,5.021639312,307047.9112,0.892117716,0.942368618,0.066446966,0.956684648,630.3452519,0.002091568,6311.42495,0.039089954,48.97356537,638.5363219,30.43481627,21714.92427,0.04929316,0.002438266,72024.50836,0.446085436,0.694697823,438.7971654,0.001770619,6.722605149,0.442112383,25.31876789,6.947824849,83572.56324,0.228841161,1.972493993,16531.74683,38.78254967,661.5057325,8.214576163,5659.409106,0.015459263,0.002158136,0.390614048,249.7273991,0.000952369,31.1311241,2.05E-05,3882.846878,0.112318104,0.019089655,0
CC0069,0.846089407,0.728812449,90.26112772,123.8468522,128.3160161,147.9594539,147.9594539,151.9243233,345773.9167,104.7855098,0.132076608,180379.1648,0.521667934,350255,0.880582386,1.355511359,461021.9231,4.585298746,0.246478109,3.048375776,1.945416191,0.147043401,1.132313197,1.147257695,0.371341229,1.574074962,0.102457596,1.147277872,-0.305912081,461021.9231,0.048916305,0.034113338,648.4680056,30982.26004,-412.2096863,94.79549536,33.84122071,0.473677847,4.472377574,3.646773303,13.76423559,0.29944315,0.206370795,0.987096301,0.921871048,-0.044698034,0.56963757,0.213424944,25.16402209,0.003148358,8.860141885,0.506349234,0.007163744,50.32804418,5.304073026,32.15917902,15813.36235,0.048241736,35.16354101,641.1627012,1.217437766,787.807071,0.0026067,0.002204052,4.962803438,288821.5883,0.881020731,0.935873754,0.075521846,0.951871005,608.8285988,0.002113911,5759.019744,0.040667597,45.63859442,609.186672,79.99294551,56572.32158,0.121136825,0.002573045,62265.47811,0.439690691,0.6896844,414.074521,0.001861704,6.712901171,0.404311145,73.87552163,6.952827764,73962.82498,0.211168506,2.3095985,17133.18027,34.50737564,643.2202624,9.423993947,6378.496658,0.017320655,0.002182063,0.362079283,221.5610775,0.000923949,29.97748544,2.19E-05,3277.852146,0.099077992,0.01933582,0
