sub,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength,outcome
MSHS015,0.7434888820000001,0.630264609,89.24156158,141.593801,171.4205355,167.24233909999998,128.1327437,172.4209964,388735.0,105.2734168,0.13481390599999998,191066.7845,0.49150908600000004,389602,66.01544799999999,72.25708466,1856852476,3.80657644,3.139215469,4.239436958,89.38961792,1.9639473669999998,68.98915259,68.79154968,52.45373154,36.93588638,1.313440338,69.03639608,0.5107099970000001,1856852476,0.087272499,6.5208088779999995,517.4656934999999,4333.921076,99.78729579,30.18608779,14.61913874,0.347187993,2.929953321,3.077782238,6.003212034,0.376898205,0.289475486,0.994283203,0.9465684879999999,-0.028029077000000003,0.422865345,0.296016907,22.66216728,0.009179335,7.395938181,0.392687073,0.020582489,45.32433457,4.455449354,11.20130663,29771.15067,0.084610955,12.58451505,538.7618946,1.351714076,716.8401197000001,0.002779857,0.002049057,4.338957051,291045.0108,0.827003026,0.9031271759999999,0.125279001,0.927451803,501.8697086,0.0018984610000000002,6150.817669,0.06105636,22.4547488,594.4844847999999,32049.16746,15664492.99,66.11843365,0.002014337,42888.09645,0.425730558,0.678655213,412.2367629,0.001369096,6.235363327999999,0.25857156800000003,32034.21067,6.517284478,59634.66951,0.15306561400000002,4.023486419,34001.54011,12.03404563,535.7113644,16.40468991,8254.973786,0.034171734,0.002051759,0.252056867,147.4860866,0.000510116,31.56805541,1.8100000000000003e-05,2454.56008,0.02173969,0.026358028,1.0
MSPA026,0.8883786770000001,0.695253696,96.66253638,139.03203530000002,149.1878011,163.23296240000002,137.8767566,167.346945,409141.625,123.5130956,0.11916573800000001,223656.6558,0.5466485,411960,63.69603806,74.55384521,1963914342,4.198119481,5.627279282000001,3.477188368,97.13475799999999,3.404404102,68.90929467,68.62277985,48.86170197,48.27305603,2.339042898,69.04524040000001,0.368995884,1963914342,0.064882433,18.75433053,449.48299789999993,10984.09122,148.0178664,56.12483,21.61585671,0.443907934,3.5760663580000003,3.341952195,8.77616565,0.338859254,0.247505365,0.9916230140000001,0.93594805,-0.041534889,0.531489577,0.254922868,20.99656106,0.005130765,8.163987844,0.445169141,0.011478664,41.99312212,4.935605623,19.43517168,24211.6111,0.063775531,20.766144699999998,475.53335130000005,1.273776945,594.43076,0.003284263,0.0025699810000000003,4.6435699889999995,325283.7948,0.856701055,0.9215392459999999,0.095951359,0.9410962829999999,449.7932235,0.002416549,6790.677051000001,0.05033151,30.68370294,528.556104,763.5525018999999,312982.5313,1.9055942609999998,0.002557207,55977.370279999996,0.414896125,0.6699043720000001,365.17530619999997,0.0017280560000000002,6.565814575,0.327505098,754.2293261,6.753708044,75002.26487,0.182062008,3.00497023,26728.966959999998,20.20059615,472.38942369999995,12.24644626,5268.084972,0.032141346,0.002572895,0.302226952,158.10675859999998,0.000776337,38.00595356,1.83e-05,2704.427299,0.044997795,0.02085743,1.0
MSHS016,0.897803758,0.695195688,85.89703595,123.5580678,139.4596716,145.9623239,127.8123625,149.0972837,351128.7083,110.93089750000001,0.142877577,168460.3146,0.47976799,353741,66.3394928,71.90840149,1687030193,3.705245009,2.795448303,4.549575762,90.82415771,1.763734084,69.02003811,68.8447113,55.14526367,35.67889404,1.169657488,69.05875238,0.597750725,1687030193,0.09419792699999999,5.345619173,393.39948430000004,3425.9657549999997,84.71794629,26.29707842,12.71426706,0.34779052299999996,2.71021442,2.9821917339999997,5.340108798,0.394280156,0.309746846,0.9950186659999999,0.950315199,-0.029220839,0.42437144299999996,0.314695436,19.74851018,0.010682573,7.186775197,0.370437288,0.023508823999999998,39.49702036,4.355059392,9.75283637,28766.32603,0.09101421900000001,11.14549995,411.13633849999997,1.3952207540000001,563.2380208,0.003816547,0.002728972,4.280878746,256721.7602,0.81204086,0.89349074,0.14205127,0.9203546509999999,380.3834295,0.0025096470000000003,5264.276183,0.063686667,21.12938949,464.69602829999997,33547.478930000005,12168165.51,93.33364967,0.0026855,35731.76638,0.43227920000000003,0.683881337,326.1180651,0.0018372229999999998,6.164346623999999,0.233670963,33529.164619999996,6.522817411,49937.19708,0.141168813,4.690449665,33321.66874,10.58272211,408.39372589999994,18.89762566,7233.870976,0.052043537,0.002731506,0.232981662,105.98202169999999,0.000628415,35.04872177,1.99e-05,2041.986993,0.020280034,0.026795512999999997,0.0
MSHS017,0.8212459390000001,0.63056735,88.11477692,139.73888259999998,163.23296240000002,164.22241019999998,131.24404750000002,169.69973480000002,439603.8333,114.7599899,0.139801197,199992.7331,0.454938556,441550,65.86965103,72.2356041,2100144351,4.1241532,3.181303024,4.29854463,85.4384079,2.016437615,68.91531931,68.72940063,54.84558487,30.59282303,1.334364648,68.96593503,0.44805813299999997,2100144351,0.070808698,6.978958974,546.9580318,12057.68536,164.3743601,50.28089412,19.7066396,0.436595378,3.387954072,3.274130879,8.179781332000001,0.35001145100000003,0.259670618,0.99235925,0.9390694340000001,-0.041362737000000004,0.524357274,0.266683297,23.22314026,0.006281649,7.975476085,0.448092682,0.014032095,46.44628051,4.823942408,17.49688343,27866.51085,0.069057192,19.42612946,574.1484739,1.305493569,737.2366869,0.0026676670000000003,0.00204413,4.608224254,340725.223,0.8442275929999999,0.9138916229999999,0.10784419,0.9354302170000001,539.5188517999999,0.001912351,6675.346152,0.05093429,31.58960277,636.1281646000001,8759.014452,4440298.546,17.40955432,0.002065721,56365.05402,0.430077172,0.682142927,445.3381999,0.0014263379999999999,6.496544331,0.296813498,8747.663489,6.752241206,74148.59415,0.167927968,3.433030603,31265.580789999996,18.73305052,570.7703975,13.92297135,7389.876179000001,0.028470967000000003,0.002043862,0.282203122,177.08429640000003,0.000584581,34.65224519,1.6800000000000002e-05,2827.365289,0.037300133,0.02144847,0.0
MSHS036,0.8056754159999999,0.640985634,88.20967967,137.61568909999997,153.1698404,164.4536409,129.6533841,165.7890226,394348.1667,110.87357759999999,0.13468172,193090.9957,0.48964598299999995,397756,66.35019302,72.23292923,1903348264,4.01527909,2.9177436830000003,4.361035869,85.97761536,1.8554868130000002,69.13248731,68.92923737,55.71674728,30.26086807,1.2265479190000002,69.17525366,0.508483114,1903348264,0.07643466,5.914917742,505.78551799999997,7698.245024,126.6722117,40.34072275,19.09535518,0.35707255600000004,3.312768838,3.2501482860000004,8.072049502,0.35606174700000004,0.266747019,0.992597229,0.940362172,-0.029845481,0.44384024299999997,0.27352588,22.37127356,0.007262444,7.78067423,0.37084238399999997,0.016806169,44.74254712,4.665352253,14.85901948,26915.41243,0.074203032,16.92851116,533.621755,1.31478462,688.3609079,0.002868302,0.002181036,4.509544092,305355.6489,0.8416748559999999,0.91193364,0.111928205,0.934218359,501.142911,0.002037413,6387.256772,0.053914095,28.48028395,598.1891771,8567.959923,4031643.9310000003,18.36522054,0.002196984,51925.19757,0.43829458299999996,0.688629988,424.0862659,0.001533338,6.3638803610000005,0.29784843,8556.687705,6.644879217000001,65231.7951,0.163999525,3.706438243,30402.34452,16.23297721,529.9991678,14.52873118,7100.397392,0.031780512000000004,0.00218124,0.283175025,167.0715247,0.0006248380000000001,32.6918088,1.8e-05,2842.709507,0.032088035,0.024140595,1.0
MSPA021,0.7509222879999999,0.574830087,87.98231376,153.0579483,166.2077014,174.61385969999998,131.2288078,179.9027515,498868.9167,114.9346248,0.142225627,213876.908,0.42872366,500803,63.84764252,74.01974182,2379990978,4.376562679,5.26852417,3.2459780639999996,91.06778717,3.1722685439999996,68.82023842,68.66249084,51.23288727,39.8348999,2.191025996,68.93728804,0.216400805,2379990978,0.056908965,16.12446575,506.2282303,15801.951130000001,97.94357933,69.71863673,27.72801245,0.430825994,4.086278615,3.5135716930000003,10.97149242,0.312447659,0.219087535,0.989321859,0.9277190999999999,-0.037213088,0.516450125,0.22678879,22.26500042,0.003899879,8.525689478,0.43382047799999995,0.008325161,44.53000084,5.10382096,24.361662300000003,26096.08424,0.056064656,26.12164909,537.9909171,1.2420470940000001,658.2519464,0.0029264609999999996,0.002361366,4.785646634,404928.6049,0.86986562,0.929436095,0.08426339099999999,0.94698758,511.5391195,0.00223754,8125.545934999999,0.045018370999999995,37.61428506,588.2671280000001,325.5452757,154992.1871,0.7060434720000001,0.0024174879999999998,76829.77071,0.425663849,0.6786254279999999,411.82171889999995,0.001667221,6.657549595,0.36040918299999997,317.8467369,6.823044146,98890.73964,0.19746435199999998,2.542991245,28500.1806,25.482239399999997,535.1533697,10.57829725,5229.647204999999,0.024778521,0.002359515,0.329285175,192.6211256,0.000797521,43.48767292,1.49e-05,3300.347209,0.059936088,0.016790686000000003,0.0
MSPA006,0.74106967,0.6272711670000001,92.92504962,148.1417519,150.4725889,167.2632655,133.09395179999999,171.3038237,355577.0833,109.78335919999999,0.111314334,218049.7243,0.613227721,360041,65.23336792,73.42313385,1722748122,4.1630752630000005,4.215293883999999,3.6872670260000002,88.96224976,2.575269819,69.09438381,68.79497528,51.67318726,37.2890625,1.758369302,69.1727295,0.477221467,1722748122,0.067043191,10.83263213,556.6349799,9284.801268000001,185.2264264,48.44749877,25.55265274,0.309532032,3.895188684,3.4563520089999997,10.31368421,0.323364685,0.231043588,0.990143324,0.930833218,-0.020768571,0.379901074,0.23799798100000003,23.47149149,0.0052885219999999995,8.152207296,0.327116468,0.012148263000000001,46.94298297,4.808951211,18.50003788,21962.71598,0.06565197,20.14563175,592.4418307,1.244031002,724.2288754,0.002445215,0.001955764,4.575750131,291027.606,0.8698385479999999,0.9291488809999999,0.08545308900000001,0.946935243,563.614996,0.001849577,6876.475194,0.051604656,29.78535588,650.6377567000001,476.6897331,231298.5401,0.992458772,0.001919125,56877.597389999995,0.426839151,0.679489538,455.05350610000005,0.00130849,6.4350837720000005,0.370105071,469.38927810000007,6.570941447,70721.81795,0.196427123,2.703682685,24138.29753,19.55667396,588.8294666,10.78138045,5773.799956,0.021755953999999997,0.001959151,0.334440797,216.2135034,0.00064559,29.58639735,1.9699999999999998e-05,3197.182933,0.044058779000000006,0.023197537,1.0
MSPA014,0.8253893290000001,0.7241414340000001,97.77244549999999,135.0184383,150.4160896,159.4239631,138.05795880000002,162.79127739999998,436063.9583,111.4427783,0.132634792,209665.4119,0.48081344,439199,63.97780075,74.27014313,2096204369,4.237200158,5.32648468,3.38112584,94.05746459999999,3.2177563289999997,68.96456625,68.74796295,49.59582138,44.46164322,2.216613874,69.08537823,0.312523516,2096204369,0.06288025400000001,16.6780871,491.81011860000007,11555.36424,110.66909240000001,58.86906667,21.68979382,0.46132499299999996,3.5687205019999997,3.3430364580000003,8.895408377999999,0.34049441,0.24953830600000002,0.991600019,0.936110902,-0.045981108,0.555841857,0.256379016,21.9662218,0.004930593,8.209044889,0.47309512600000003,0.010769005,43.93244361,4.978270945,20.13971512,24943.07764,0.061836845,21.77110742,521.0798893,1.286840207,657.9948869,0.0030051920000000003,0.0023256839999999997,4.695739239,343614.1162,0.851727947,0.9184207190000001,0.100990337,0.938840705,491.7166682,0.002181093,6776.912662999999,0.048931484000000004,32.24940782,581.6453956,1398.416316,652258.7296,3.090592352,0.002296002,58195.405770000005,0.42018950299999996,0.67417675,404.0364162,0.00155926,6.57647383,0.315342248,1388.360075,6.842678244,77395.44666,0.17621954199999998,3.2155609889999996,27616.94458,21.17301014,517.6093844,12.9565846,6132.183675,0.030861172000000003,0.0023290389999999998,0.294230585,168.98847780000003,0.000679881,37.24586086,1.75e-05,2842.3147940000003,0.04551167,0.020818966,0.0
MSPA003,0.787748914,0.670511133,95.35905721,142.21845469999997,148.7884404,169.8381583,140.4065526,172.5485439,398335.4583,112.03243329999998,0.123136903,212615.6404,0.533760266,401401,62.14541245,74.54639435,1886739467,2.8555815210000004,6.24382019,19.52501658,192.9171143,4.105348016000001,68.30541805,67.81526184,42.90876389,150.00835039999998,2.6114662980000003,68.55935799,2.176445164,1886739467,0.174235265,34.75543225,80.81654161,2721.213109,90.9581071,11.44861348,3.8974949480000003,0.49221842899999996,1.418591711,2.191774305,1.8790268940000001,0.538843838,0.48744606799999995,0.9984616629999999,0.9730644709999999,-0.061532272,0.536909333,0.45489546,8.88418533,0.036072642,5.49368992,0.580598271,0.07369323,17.76837066,3.586894858,3.8365271080000003,52748.934219999996,0.163860747,4.413658692,86.03423586,1.9027349740000001,155.35650680000003,0.027242192000000002,0.014277606000000002,3.807994002,219176.133,0.680374595,0.8019528909999999,0.34563858799999997,0.85157503,74.45172582,0.012149568999999999,3799.17776,0.102417516,14.03654038,117.8890956,561552.2466,42272630.9,7710.34885,0.014930435,15711.63054,0.423551167,0.676935807,81.94112898,0.010289386,5.7204910579999995,0.092413821,561435.1549,6.324146167,34822.983960000005,0.086753605,10.98900247,69938.20943999999,3.942547865,84.31082633,48.8019686,3689.485029,0.703762845,0.014292154,0.109624525,11.83547273,0.0016120820000000001,90.37510602,1.8100000000000003e-05,1084.301385,0.0051470990000000005,0.059554665,1.0
MSPA010,0.725046107,0.582195792,88.41216621,151.8598509,144.3675864,174.79416469999998,138.1774222,177.10166569999998,336954.9167,110.1053938,0.100091245,233956.9222,0.694327076,341638,62.57937164,75.05554962,1621578186,3.7039510910000004,6.478528976000001,6.704017188,125.3523788,3.9607370860000004,68.70037815,68.37632370000001,46.08261871,79.26976013,2.694538961,68.89470762,0.8335887129999999,1621578186,0.09205029599999999,26.73878017,217.6179055,7628.820666,174.6955259,31.5506554,11.26029345,0.47430163799999997,2.566975278,2.9004221360000004,4.645886731,0.402670405,0.318854962,0.995582678,0.952689377,-0.049495094,0.545824812,0.32323736399999997,14.57893195,0.009945586999999999,7.207355141,0.528534857,0.02132491,29.15786391,4.466034531,10.70273721,27670.47315,0.090179648,11.12468435,230.94887290000003,1.371770785,308.56159660000003,0.007382215,0.005342846,4.251939192,251007.7338,0.8178084309999999,0.898128789,0.131414129,0.92315328,214.75753089999998,0.004922997,5424.939213000001,0.068161922,19.08272491,269.9283192,3590.997424,692444.6786,19.13930413,0.00526293,31141.2189,0.391275414,0.650437368,181.24118959999998,0.00346015,6.319616837000001,0.23296296100000002,3572.571629,6.507137458,51273.31042,0.150080818,4.0788853519999995,31447.879039999996,10.72002887,228.7751245,17.3915431,3574.5994880000003,0.096311967,0.005356363,0.228579905,59.95526283,0.001210728,39.26097012,2.17e-05,2524.284609,0.015683284,0.054579475,0.0
