sub,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength,outcome
MSHS015,0.7479165809999999,0.654986611,106.27710729999998,162.2584423,177.6344561,176.343415,131.94695900000002,177.6457148,638793.7917,121.3557795,0.099360826,361001.8179,0.5651304420000001,638479,0.479534215,0.804125667,278449.7265,4.591533398999999,0.161836743,3.2792756830000003,1.316832781,0.099649229,0.648011977,0.651756346,0.23633626100000002,1.08049652,0.067803112,0.660389393,-0.070635805,278449.7265,0.049355399,0.016194627,399.3903808,39439.41621,148.9920324,103.8392556,28.23256461,0.5739659220000001,4.06529659,3.515463385,11.47754186,0.320441479,0.22953739,0.9891425309999999,0.928274567,-0.072561773,0.681084004,0.23548402100000002,19.50611354,0.003378343,8.779505765,0.6862304779999999,0.008035737,39.01222708,5.381312284,33.01795505,28831.291080000003,0.048686822000000005,35.42172166,416.33369039999997,1.253213029,523.917175,0.005361286999999999,0.004490072,5.004824339,514286.9046,0.868202403,0.92745837,0.089997015,0.946083393,393.45201299999997,0.0043019320000000005,9475.259449,0.040573535,46.43197204,408.73065049999997,77.26246398,34544.846639999996,0.213188407,0.005755989,90673.01725,0.3882664,0.6472256820000001,264.170972,0.004103181,6.920493639,0.365764575,69.78771318,7.100846588,124648.5157,0.195227276,2.751777767,31512.3859,34.76416703,416.9401233,11.08124934,4735.825449,0.03739981,0.004415333,0.320885658,131.6888965,0.001842229,51.34029104,1.52e-05,3113.424733,0.074374792,0.016639152,0.0
MSPA026,0.8507775870000001,0.672575887,109.49025379999999,162.7924165,157.4325252,170.0735135,146.7548977,173.73830900000002,611159.7083,138.50013930000003,0.08142896599999999,427702.3949,0.699820995,607325,0.437646776,0.808893132,256130.7281,4.340704388,0.186511755,4.086536116,1.660621643,0.11554288900000001,0.63194107,0.63303411,0.166894123,1.49372752,0.078112129,0.64941193,0.373584326,256130.7281,0.059266797,0.022386338999999998,279.3283057,27941.04784,381.996149,81.66739358,19.24295877,0.619880373,3.3652678039999997,3.256266348,7.772745795,0.35265555,0.263243397,0.992512035,0.939398629,-0.08647343,0.714187858,0.269102907,16.23947862,0.004727891,8.307814328,0.656122764,0.011217521999999999,32.47895723,5.187386021,25.22758809,32615.65966,0.058415099000000005,25.76920649,283.1304699,1.285846848,364.5676828,0.007471378000000001,0.0060305459999999995,4.792783706,477211.4787,0.8543550190000001,0.919322502,0.101738207,0.93988386,265.9572877,0.005724559000000001,9339.345826,0.048185665999999995,35.91820709,282.6480343,161.8889021,46325.29106,0.629936104,0.007346748,69056.83287,0.35629363799999997,0.619241836,177.63481940000003,0.004818221,6.90244779,0.3191372,152.0704022,6.94942481,110575.2263,0.18206928100000003,2.994240308,35994.20719,25.16369032,283.302879,12.58945869,3606.9414840000004,0.061830565999999997,0.005952226999999999,0.282387718,80.41614563,0.002032391,60.45436943,1.52e-05,2779.150261,0.047192042999999996,0.022412767000000004,0.0
MSHS016,0.870212361,0.7039983670000001,103.0703736,146.40712030000003,146.6321929,152.8561415,136.2093976,155.12897859999998,566051.9167,127.4052858,0.10146196199999999,326150.7475,0.576185219,564541,0.51123333,0.7762990590000001,242292.9057,4.446868418999999,0.12996304,3.626831086,1.254149914,0.08220179,0.646348378,0.6492126579999999,0.255060792,0.999089122,0.054647703,0.655122635,-0.15656292800000002,242292.9057,0.055939842999999996,0.011419441,415.0986224,27639.510830000003,66.39656271,83.77457806,25.50847775,0.535028292,3.8160487869999997,3.4428218960000003,10.75042006,0.335676421,0.246589996,0.9901756740000001,0.932367032,-0.06537726099999999,0.646434428,0.251774016,20.01328488,0.004244404,8.53136743,0.65646446,0.010950086999999999,40.02656977,5.2205835810000005,27.32076395,28519.06672,0.054858088,29.49327831,431.63849910000005,1.2805073740000001,553.9579012,0.004743685,0.003906599,4.894484018,445854.9177,0.857335738,0.920834121,0.10037830199999999,0.9412143629999999,406.02626539999994,0.003728794,8189.162112000001,0.042653885,42.863337200000004,425.7231016,128.657161,54574.62354,0.344605362,0.005169944,75593.15143,0.39373278700000003,0.651937886,275.4481472,0.003740573,6.854022366000001,0.34008336,120.0108822,7.033658591,102252.4254,0.181124888,3.198071248,31580.3347,28.69436694,431.97736569999995,12.55134879,5483.094482,0.036905108,0.0038348320000000003,0.30328307,129.135412,0.0015582620000000001,44.89788968,1.66e-05,2815.164311,0.060820377,0.017694813,1.0
MSHS017,0.795765116,0.637540808,103.8532176,162.8965807,170.7659217,170.83617880000003,138.9280389,175.6302935,626942.4167,129.62741640000002,0.096516854,367028.1737,0.5854256529999999,629678,0.488581544,0.787441653,271531.7094,4.159017858,0.152273908,4.70086634,1.635189295,0.094779302,0.644848572,0.64620468,0.23697833699999998,1.3982109580000002,0.063388182,0.6566758079999999,0.310278858,271531.7094,0.068091473,0.015393436000000002,238.4207125,22722.841080000002,340.6927849,62.18602181,14.9558812,0.6136938670000001,2.942426442,3.089579573,6.178858537000001,0.382203225,0.2970586,0.9941459979999999,0.946436402,-0.08916695,0.710478022,0.299085189,15.05367169,0.0063394969999999995,7.905989908,0.841858881,0.015199625,30.10734337,4.961121476000001,19.28547575,37904.86225,0.066847877,20.28191107,247.00841040000003,1.370430122,339.700182,0.00888066,0.006851965,4.690967586,468286.3288,0.8253513790000001,0.900455349,0.135562625,0.926415269,228.55744810000002,0.006442478000000001,8239.705245000001,0.052224402999999996,29.31857689,239.6512058,736.7801363,163902.5855,3.62536421,0.0094086,55091.65137000001,0.349178586,0.612707084,145.95566269999998,0.006300989,6.822228245,0.250564574,720.8521577,6.994534249,97159.08672,0.154299637,4.210144585,42875.70253,19.7696618,247.3586722,17.08504347,4286.3698079999995,0.09131228599999999,0.0067184359999999995,0.232902833,56.22517448,0.002103088,60.26164035,1.53e-05,2532.442536,0.032011082999999996,0.026110577000000003,0.0
MSHS036,0.7990919790000001,0.653043791,103.485925,158.4670529,168.2914139,169.1892432,135.66502869999997,170.80398119999998,597687.2917,126.6297508,0.09314414800000001,368392.8844,0.616363924,599319,0.47147346100000004,0.765333927,245023.3664,4.470821045,0.14950329099999998,3.091727803,1.273333907,0.090201984,0.629213265,0.639798164,0.238978788,1.034355119,0.062484659000000005,0.6394030860000001,-0.38121760299999996,245023.3664,0.052825355,0.012926973000000001,388.36361800000003,23215.69056,-185.22023959999999,84.40896665,29.01321901,0.490189176,4.07973634,3.5308254669999997,12.15185048,0.323057767,0.233093618,0.9888728379999999,0.9282014909999999,-0.053960525999999995,0.597285453,0.23877558699999998,19.35236313,0.003722348,8.621595316,0.5673859689999999,0.008658865,38.70472627,5.228979987,28.35554642,28891.66822,0.051994411,31.02642309,403.9860637,1.255493004,511.6763482,0.005276508,0.0044388679999999995,4.887963611,482565.0624,0.86815164,0.9271380709999999,0.091388916,0.9460271640000001,381.2792899,0.00425899,9436.039573,0.042486119,41.97927344,384.0134851,79.25780627,34905.71417,0.209505952,0.005807211,88270.24157,0.397440045,0.655008801,246.5316048,0.004203484,6.788253489,0.370582278,71.97614106,6.986187652999999,116235.4112,0.193945814,2.898443172,31659.239210000003,30.28937461,405.23938839999994,11.27605332,4767.192522,0.036270269,0.004355885,0.325614547,125.3257608,0.001886609,51.70694869,1.49e-05,3152.48761,0.069392472,0.015979748999999998,1.0
MSPA021,0.783823094,0.632965619,107.3825132,169.64983569999998,173.8073646,182.0027472,139.1869247,185.0027027,610356.3333,132.9754591,0.089299227,389665.5955,0.638423121,611385,0.476606679,0.802763212,262194.228,4.425189862,0.16626685900000002,3.774494312,1.4086015219999999,0.10250086300000001,0.641431867,0.638546944,0.154661834,1.253939688,0.069386611,0.65486861,0.3412614,262194.228,0.055900075,0.017418056,413.063352,32377.754960000002,427.2704085,89.89934204,21.26434238,0.618380056,3.521516623,3.320909032,8.718717834,0.34416794700000003,0.253868897,0.9917658140000001,0.936910305,-0.083941141,0.7120642540000001,0.260513922,19.89734031,0.004203299000000001,8.473738694,0.6523067929999999,0.009377886,39.79468062,5.26093048,27.79092111,31122.34373,0.055259549000000005,28.32668725,425.0459736,1.276527417,539.3281044,0.004168328,0.0033071740000000004,4.868074167,482579.0176,0.8565443220000001,0.921181605,0.09733701800000001,0.9409309659999999,400.546626,0.00312299,9233.08782,0.04607076400000001,38.21864983,438.4010956999999,98.087106,40592.74786,0.279068162,0.003614693,72942.66619,0.363965382,0.626269069,279.521094,0.002330782,6.944987874,0.327798359,88.78060456,7.025478027,112866.32199999999,0.18460760699999998,2.8835469369999998,34176.46715,27.77586186,424.1700663,12.18164495,5018.45567,0.037879466,0.0032920370000000003,0.289811589,127.29318190000001,0.001036717,48.31729612,1.5399999999999998e-05,2738.2716960000002,0.052255587,0.018969108999999998,0.0
MSPA006,0.759649288,0.659405681,108.9881108,165.2823352,157.9271984,173.6260349,142.8005602,178.686877,648015.5,125.5566082,0.09399024,385293.4541,0.594574442,644718,0.451221573,0.7576468829999999,254664.2668,4.485440123,0.153785855,3.434941051,1.2427303790000002,0.095200434,0.616567274,0.6257623139999999,0.13714210699999999,1.105588272,0.064633818,0.628491065,-0.131513814,254664.2668,0.053809025999999996,0.014845815,513.7931744,31094.45045,67.33930681,91.06166454,26.39367118,0.5517103,3.862925698,3.46187572,11.28076112,0.333620674,0.244222871,0.9898644529999999,0.931687948,-0.070436682,0.6678275029999999,0.249928547,22.30752788,0.0039638979999999996,8.607570076,0.632020232,0.009405264,44.61505576,5.281894782,29.36383393,31478.16332,0.052917698,31.17089453,520.4117434,1.27200971,669.1932287000001,0.003331095,0.002718383,4.923674828999999,511559.4105,0.859694608,0.922626517,0.09650788699999999,0.942310192,488.8984703,0.002587196,9531.594457,0.042840167,42.00636506,489.738894,99.94537332,55663.929000000004,0.197729085,0.0032931559999999998,86027.32367,0.386653559,0.645950315,312.343298,0.00225632,6.894389645,0.34509971799999994,91.54863167,7.055161393,119259.4767,0.18497928800000002,3.0224711969999998,34691.64732,30.44332761,522.4490366,12.09287161,6658.115967,0.026727402,0.0026829859999999996,0.305709551,151.1091551,0.000993517,47.69546748,1.39e-05,2961.021961,0.063940925,0.015053563999999998,0.0
MSPA014,0.818431371,0.70858128,110.9405692,156.5671749,157.2800051,165.6411785,143.84018909999998,168.46958180000001,623266.0417,128.13948770000002,0.096061157,367326.2397,0.589357056,621767,0.479226255,0.776104462,252343.5857,4.4220676160000005,0.147970915,3.615020242,1.3579734559999999,0.0923692,0.625825383,0.621307731,0.22031264,1.137660816,0.062054899999999996,0.63706288,0.274104823,252343.5857,0.056361216,0.014191703,351.34398639999995,26167.52968,285.2101229,87.05813986,22.64961323,0.5879071029999999,3.597458697,3.357702138,9.55488952,0.34273206,0.25286985100000003,0.991269933,0.935806701,-0.077749007,0.691247189,0.259272409,18.30960294,0.004239622,8.496293251,0.607402664,0.009990685,36.61920588,5.251586955,27.42693827,31750.54635,0.055509839000000005,28.18357844,364.18361269999997,1.28126286,463.0192467,0.005420194000000001,0.004357931,4.873657934,488711.723,0.854124558,0.9199075440000001,0.09879854199999999,0.939857167,342.98395089999997,0.004129385,8860.499883,0.044184747,40.65557158,381.10999189999995,146.7059137,48750.37503,0.506857486,0.005229624,74547.13956,0.371744997,0.6333555120000001,248.3148747,0.003550285,6.972938897000001,0.322521137,137.09236719999998,7.024081475,112840.868,0.18148417,2.966040263,35043.544010000005,27.49095363,363.19824950000003,12.46725381,4370.969788,0.046678889,0.004312086,0.287993911,110.1451946,0.00149015,55.57570679,1.4499999999999998e-05,2945.6715280000003,0.054177215,0.019137476,1.0
MSPA003,0.792213899,0.7027319409999999,115.3999594,164.2161864,157.47063219999998,175.5704987,150.23315209999998,177.3865835,722201.7917,130.0943453,0.096355509,403998.6812,0.559398614,721096,0.405809417,0.7708862129999999,274624.4169,4.253594657,0.181669146,4.352746238,1.6026287080000001,0.115900352,0.597967055,0.610881388,0.009614062,1.5930146459999999,0.076341518,0.617124844,-0.478680659,274624.4169,0.064799334,0.023278474,373.29978389999997,30830.1392,-481.7387297,77.42661926,14.45576791,0.6860566240000001,2.908517293,3.069139125,5.898954575,0.38198159,0.29614024899999997,0.994336973,0.946951687,-0.114246014,0.7802079470000001,0.298932146,18.90916723,0.005840532,8.005549123,0.930619407,0.013446274,37.81833445,5.091209097,22.97059679,41757.59141,0.064297126,22.48247545,384.60289789999996,1.369174835,516.9611393,0.012053188000000001,0.005329009,4.761287846,535848.7321,0.8246448959999999,0.900647924,0.135197977,0.9261960920000001,357.14768829999997,0.004559194,9093.862703,0.051713160999999994,29.01042455,395.3532289,521.7845688,161657.3244,13.38411495,0.003867048,59947.208529999996,0.340895802,0.605513093,242.59961659999996,0.002363796,6.916327637,0.243867668,504.9697749,7.036315455,113624.7606,0.157572307,4.34420094,46726.54076,23.01755551,382.7483983,17.18319336,5963.5172219999995,0.44762258,0.006164956,0.228052783,90.15945912,0.000903548,53.31397964,1.34e-05,2337.518798,0.035606822,0.020048101999999998,0.0
MSPA010,0.742785502,0.610294244,103.4960078,169.583785,152.1906699,179.47144619999997,142.2743828,183.1119876,621826.875,125.964377,0.088755185,396950.8333,0.638362299,616553,0.433373564,0.76061604,234412.3296,4.534379672,0.163694263,3.1282542319999997,1.2859836820000001,0.100092394,0.603365887,0.60726124,0.158556193,1.127427489,0.068587199,0.616602126,-0.027177548,234412.3296,0.051028643,0.016147789,429.21997930000003,29551.518669999998,75.05376792,95.96795109,28.56684711,0.542187007,4.115795258,3.526225263,11.43593731,0.315198311,0.22314592800000002,0.989009279,0.9273844729999999,-0.062576705,0.6419057020000001,0.230004142,20.30686327,0.003355695,8.755759336,0.566324049,0.007756858,40.61372654,5.334770483,31.13369955,28975.19996,0.05039247,32.46665224,440.4079329,1.230806872,543.9559012,0.004224441,0.00354016,4.926547359,503562.346,0.875549008,0.932576387,0.080450274,0.949410812,417.68391139999994,0.003389185,10082.6446,0.042341103,42.46500008,432.18358960000006,39.62460263,18092.27539,0.101222542,0.004175732,91890.8751,0.38588695700000003,0.645179195,278.8020965,0.002871287,6.8785986789999995,0.386226326,32.92087665,6.957002719,127467.4796,0.206742129,2.341983515,31461.86309,31.84325585,440.9819675,9.921069235,4467.40438,0.028994283,0.003501865,0.334762554,145.3698529,0.001393387,52.51401163,1.42e-05,3221.552158,0.070876158,0.015935911,1.0
