sub,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength,outcome
MSHS001,0.814733175,0.671713842,90.97360811,135.4350653,161.0124219,160.6549097,132.3064624,163.694838,392764.5417,110.3434407,0.129943116,199596.2439,0.508182951,395600,0.940885478,1.145061064,434866.7985,4.118508079,0.104936451,3.513787808,1.55324924,0.06386736,1.045278281,1.047775924,0.585632145,0.967617095,0.04369051,1.048455456,-0.108716091,434866.7985,0.068848737,0.006652158,610.9784371,8284.000126,-67.10390009,47.27435109,20.71165923,0.390584924,3.482103181,3.310522355,8.543610765,0.344599288,0.25378688,0.991974982,0.937519526,-0.034118306,0.483186751,0.261034788,24.58326929,0.005795035,8.020270037,0.399691507,0.012898966,49.16653858,4.813618567,16.99650258,24489.2177,0.067447022,18.43177091,604.7005154,1.289357317,784.4428152,0.002428733,0.001923596,4.581944997,308955.9932,0.850797869,0.917816559,0.101989441,0.938422582,566.5468915,0.001815425,6562.940241,0.052615488,28.98550879,586.2670483,4305.357192,2720617.419,6.873658581,0.002180301,53284.71594,0.427186781,0.67970519,397.6031424,0.00153971,6.425710816,0.315303337,4295.298469,6.716561317,68990.56979,0.174394767,3.259241535,27236.56051,17.84869003,605.9965217,13.09856421,8172.527482,0.022700251,0.001909373,0.294751744,173.9621032,0.0006354,29.97458295,1.85E-05,2936.959255,0.036639604,0.022884626,0
MSHS002,0.800264865,0.641809906,88.11529347,137.2918875,147.6787053,163.0828011,132.0757358,169.2483382,387912.2083,109.8698738,0.14076032,182736.868,0.471077899,390582,0.820820856,1.155769193,382532.6851,4.242274059,0.159482375,6.296761992,2,0.106726071,0.978956615,0.95965606,0.54945451,1.45054549,0.067697919,0.9896421,1.222553797,382532.6851,0.066646367,0.02103543,258.6895729,44293.26135,962.6803395,84.20884636,8.22018405,0.821956314,2.157733224,2.694392423,3.536787304,0.443554442,0.368643235,0.99675831,0.959826802,-0.181012623,0.881013709,0.367102004,15.48199349,0.008097341,7.630320366,0.872526668,0.019759372,30.96398699,5.104429885,23.1072576,22021.83695,0.065188224,25.99694018,260.5819273,1.533192035,394.0597894,0.008963386,0.006029368,4.924215566,259684.7043,0.768323025,0.864901018,0.195140016,0.898831921,235.0544298,0.005468976,3157.394124,0.049764278,42.0411596,280.7747569,46427.4534,9998048.326,228.3377405,0.007419075,24908.73197,0.39259117,0.651380606,185.3383178,0.005013842,6.78785584,0.162442202,46389.55663,7.444653174,46375.0492,0.118733196,6.38241842,26030.87113,25.07261771,259.317562,26.74573841,6649.133068,0.145320924,0.005960339,0.171637901,47.34859573,0.001213762,33.7434664,2.80E-05,2074.292824,0.031323713,0.056421178,0
MSHS003,0.867945791,0.713399152,96.14743277,134.7736853,147.5974255,164.5387492,141.0886246,164.550904,411335.375,116.9762529,0.130207108,205421.9298,0.499402537,416171,0.922430336,1.180553794,461685.2327,4.508060477,0.131872028,3.280425462,1.599673867,0.080018599,1.048354126,1.043345809,0.683106363,0.916567504,0.054960726,1.053263622,0.296897554,461685.2327,0.052013843,0.010317886,447.9235096,29161.45195,246.4087778,94.46652773,26.22344076,0.565451452,3.926060554,3.472381727,10.7540676,0.32296053,0.230849517,0.9899087,0.930410035,-0.065947008,0.663568507,0.238034174,20.75720795,0.003558868,8.69153218,0.567477331,0.008130363,41.51441591,5.316794455,30.17249212,19787.50064,0.051335431,31.45923892,448.6993583,1.255609522,560.4600749,0.003954277,0.003206506,4.930315316,333400.2359,0.864850048,0.926191582,0.089642724,0.944728376,424.4232447,0.003044488,6282.265514,0.042648592,43.23881113,457.8579594,676.1096719,261839.31,1.824846762,0.003614381,63137.65181,0.428624344,0.680969777,313.1442749,0.002582391,6.73514758,0.353948257,668.1275116,7.056833464,79114.38563,0.190100669,2.8472113,21646.6529,30.7874376,447.919312,11.36788243,4942.637425,0.03326618,0.00318594,0.323609044,147.8407965,0.001164995,38.7862495,1.94E-05,3269.179117,0.07035998,0.022728272,0
MSHS004,0.7919866,0.675955278,96.69598569,143.0508628,156.2625995,167.5470083,139.2012931,170.0411715,462434.0833,113.2943664,0.133608402,216446.3395,0.468058794,466201,0.916332364,1.131679058,492851.484,4.32996,0.110286891,3.390729407,1.545907974,0.067119133,1.024616947,1.024245143,0.66840744,0.877500534,0.045910803,1.028185403,0.125849979,492851.484,0.059246752,0.007325335,454.6483232,14315.31618,75.8580808,64.87688571,25.73545123,0.431831591,3.876039606,3.457663329,10.65114838,0.32614355,0.234397023,0.990096235,0.931246468,-0.039620278,0.527215207,0.241556685,21.09174473,0.004353045,8.414178988,0.436519728,0.009697144,42.18348946,5.050580728,22.65308424,25082.69645,0.058228552,24.5558838,456.1843829,1.264464297,577.3335612,0.003567634,0.002893379,4.765059598,370994.1248,0.861141518,0.923983762,0.092905247,0.943073826,430.0796677,0.002747595,7321.369636,0.045719698,37.05074521,452.5922591,871.0454676,385203.0543,2.038482609,0.003384941,69706.46353,0.435295396,0.686268125,310.4519306,0.002457702,6.589899426,0.343491327,862.5699067,6.877261983,86398.56158,0.185324702,2.979420535,27620.89502,23.86685122,456.346445,11.83850957,5419.296482,0.030100152,0.002867607,0.317456258,143.949659,0.001066263,42.63060791,1.61E-05,3315.430987,0.054429845,0.019520815,0
MSHS005,0.789842667,0.652883584,94.42443814,144.6267612,156.3713529,167.9434429,137.0583817,171.8051222,477764.875,114.2323868,0.127657654,231515.5028,0.484580418,481949,0.930844069,1.14848516,530462.3752,4.302563232,0.111132622,3.227154757,1.556931376,0.067315354,1.045654363,1.051255465,0.670130074,0.886801302,0.046424789,1.049123828,-0.184195559,530462.3752,0.060117157,0.007267759,500.6363296,12787.18903,-102.2670687,61.09912877,24.17453679,0.43295943,3.728994878,3.41118827,10.20097256,0.335239377,0.244594823,0.990689665,0.933673616,-0.041609139,0.533619091,0.251722062,22.16762302,0.004813279,8.301123532,0.436903372,0.011480428,44.33524605,5.001836339,21.31841639,26100.86207,0.05884572,23.90679151,490.5466746,1.280210345,636.6256225,0.003295915,0.002679869,4.753385158,379543.561,0.855566777,0.920317774,0.099237576,0.940532519,459.677441,0.002547616,7576.658695,0.046954126,35.27796421,454.9634489,3119.624765,1695272.401,5.830293195,0.003330588,70849.52736,0.439069225,0.689179753,309.9588816,0.002445778,6.50405808,0.334813435,3110.704162,6.8705286,85797.77529,0.17802252,3.308884829,28973.40359,23.18647233,492.9219793,12.74445844,6691.233182,0.027660741,0.002642387,0.31055779,143.162683,0.001018461,41.49792474,1.60E-05,3059.874233,0.053462497,0.017651784,0
MSHS006,0.797836124,0.647945187,94.46965262,145.7988337,163.4870025,171.4788617,137.2443077,172.6644144,497395.7083,116.3235764,0.134793466,225225.023,0.452808537,500327,0.921732509,1.164665627,548798.7154,4.333437807,0.123517096,3.577726182,1.657426357,0.075598823,1.042835924,1.040228248,0.671965718,0.985460639,0.051487741,1.047320424,0.291776222,548798.7154,0.059261146,0.009373307,397.8426603,18855.10975,187.3448207,71.59842888,20.70116415,0.551264819,3.47997113,3.310399077,8.526005043,0.345739917,0.255376873,0.991973207,0.937563674,-0.065264992,0.64683204,0.262152947,19.62440848,0.004693575,8.317441897,0.557180518,0.010755268,39.24881695,5.112582878,23.07489826,26666.40637,0.058238507,24.91114913,397.5572511,1.300563522,516.1807146,0.004410144,0.003477332,4.806724169,387668.8756,0.846495697,0.915165943,0.106187448,0.936447406,372.3876561,0.003279143,7008.03128,0.046208221,37.43709929,397.2014084,2347.231693,855756.743,6.631473553,0.004094599,63573.35108,0.41917785,0.673385549,267.5244,0.002896896,6.675628257,0.303125756,2336.34855,7.008084022,85436.67014,0.170761662,3.413261541,29649.95146,24.21419779,397.3658867,13.68968095,5381.603419,0.042279083,0.00344615,0.284826254,113.240101,0.001146688,47.22090367,1.63E-05,2885.616622,0.051136575,0.02032764,0
MSHS007,0.723973517,0.669077706,97.96200709,146.4134977,158.685223,168.0743883,143.0034965,171.2950671,396685.7083,105.9994949,0.133002831,196300.2911,0.494850928,401151,0.881558061,1.245495677,461058.2105,4.516146006,0.190885425,3.168804013,1.822323084,0.113722969,1.062446596,1.060826063,0.528434515,1.293888569,0.079112396,1.072071968,0.108317754,461058.2105,0.051328405,0.020545535,484.4005686,35280.31516,-49.45187038,106.1133468,14.77261151,0.755509137,2.936773274,3.084298451,6.106268148,0.377773786,0.290806595,0.994224155,0.94648143,-0.143604017,0.849009454,0.296772521,21.48403589,0.004324456,8.361663284,0.783981864,0.00933959,42.96807178,5.409544606,30.22148957,18444.77535,0.050972373,31.1768452,478.8618796,1.355219231,643.5685023,0.004081891,0.003013366,5.03588641,298421.1092,0.824481817,0.90205012,0.125719118,0.926293686,444.5035093,0.002792287,4434.704391,0.04480314,40.47694962,494.7246368,2320.462357,1112814.426,5.600113876,0.003169892,39183.77265,0.395867659,0.654231887,327.6504768,0.002105744,6.893853442,0.246744991,2304.037435,7.372968047,61931.98045,0.154385706,3.949452951,20590.44086,30.75934966,477.4853634,16.52851171,7601.03318,0.050139617,0.003012442,0.239900078,118.4892871,0.000750761,27.9323216,2.58E-05,2358.262869,0.051162172,0.031571564,0
MSHS008,0.931652258,0.640179853,93.01671164,145.2977802,157.0350279,170.7922715,151.6344288,177.5302791,473660.4583,135.3670051,0.121318792,242214.869,0.511368143,479004,0.938547462,1.173174512,536684.1579,3.942024749,0.119381249,4.428872963,1.704978466,0.074489576,1.054009995,1.052100182,0.415355146,1.28962332,0.049762418,1.058497454,0.056763153,536684.1579,0.079721793,0.009479792,655.3845795,7613.328381,23.45405817,40.8739168,14.62487736,0.472796161,2.89695831,3.072382999,6.195593691,0.382065191,0.295948465,0.994292743,0.947211187,-0.051792345,0.568784822,0.301267441,25.47197766,0.007753854,7.638186699,0.567970379,0.017286239,50.94395532,4.694076647,13.87469854,33600.21874,0.077922449,14.8862687,652.2509017,1.364841365,890.8971102,0.002312761,0.001717165,4.484197904,354693.1009,0.822360949,0.900201412,0.130268525,0.925255812,603.3362737,0.001594874,6687.165974,0.056743029,25.80156284,648.8772932,10614.2493,6803547.79,16.7122553,0.001887107,47988.60723,0.40720074,0.663604995,430.0361461,0.001289714,6.471010729,0.246031348,10597.72896,6.766880455,72360.18272,0.151063838,4.213208041,38187.05773,14.33054785,652.451301,17.13553123,11215.56435,0.027844389,0.001708866,0.240458786,156.1278125,0.000447936,32.54107131,1.58E-05,2418.432087,0.024076489,0.022583591,0
MSHS009,0.741311194,0.675312465,94.93573213,140.5804529,154.9516053,164.7118696,136.1800279,167.1735625,405708.125,104.2138633,0.134579959,196930.4488,0.485399322,408512,0.933451623,1.172207725,459179.6491,4.027293688,0.123577207,3.588538946,1.624864459,0.074633147,1.055927189,1.058128893,0.422462553,1.202401906,0.051317546,1.060202702,-0.025606123,459179.6491,0.073047298,0.00904754,745.3892566,7373.712936,-34.10532855,44.22108332,15.41651594,0.482795919,3.012613728,3.116209534,6.301721494,0.372358177,0.284626145,0.993972418,0.945187372,-0.05262774,0.576767096,0.290458662,27.16959943,0.006811224,7.76509183,0.665295019,0.015362841,54.33919885,4.768066156,14.90939981,26425.30232,0.07154009,16.2673832,734.9570279,1.34726518,994.8663369,0.002007814,0.001513292,4.548997852,306183.6327,0.828738271,0.904202984,0.123691134,0.928255615,681.3524504,0.001410597,5912.232694,0.055781569,26.27030078,718.7269151,9232.675976,7221065.183,11.90093247,0.001655887,43266.16812,0.408213759,0.664332227,478.6156318,0.001112887,6.457209785,0.259451375,9217.820449,6.80595489,63726.66915,0.155997056,4.00068257,29840.69794,15.73190498,736.195419,16.18582563,12164.16419,0.022853508,0.001505049,0.250725498,181.4981653,0.000407008,26.07560381,1.89E-05,2533.41216,0.027559813,0.025754451,0
MSHS010,0.727236514,0.642512061,90.25086566,140.4656367,162.3637891,163.7467557,130.0961183,168.2408987,383079.8333,102.15174,0.136682995,186621.8529,0.487161779,385918,0.912921023,1.142536032,411333.8426,4.306597713,0.117613599,3.443871436,1.631756663,0.071499341,1.028374126,1.027032375,0.68371284,0.948043823,0.048987643,1.03240406,0.21187198,411333.8426,0.060091693,0.0083048,374.2366676,15768.81464,115.6860079,66.78937853,21.60013718,0.511105636,3.581905064,3.342530463,8.723163151,0.337938588,0.246342763,0.991624273,0.935831727,-0.054495409,0.603214898,0.253904222,19.05092476,0.004651005,8.30983751,0.513566015,0.010201098,38.10184952,5.067931257,22.09737893,20989.19908,0.059097734,23.83804273,371.9022762,1.278764318,476.0490519,0.004722605,0.003810981,4.757218415,303591.0887,0.854681182,0.920299729,0.097784124,0.940185674,349.5353344,0.003614017,5808.561198,0.047119875,35.79459029,367.7015543,1142.042248,426647.5365,3.156923738,0.004656272,51729.67065,0.419638447,0.673712319,247.9185122,0.003355527,6.634185787,0.31942537,1132.241456,6.89414415,69315.13555,0.179611046,3.023097856,23190.4661,23.18845135,372.0494172,12.46155401,4650.310582,0.040562618,0.003768668,0.297507902,109.8359929,0.001365141,38.70831837,2.03E-05,3014.95719,0.050323856,0.026309345,0
