sub,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength,outcome
MSHS001,0.8270228,0.695133923,108.1477744,155.5783293,168.4666139,166.5953181,139.1294361,170.7190675,703586,128.6668254,0.103433842,369856.2199,0.52567308,699941,9.269573212,19.54475784,160389054.4,4.083460668,5.145492554,6.158978005,51.77045822,3.29808773,14.4761809,14.42109489,5.79E-05,51.7704003,2.154488155,15.13758681,0.523845779,160389054.4,0.073344442,19.5867209,215.7992748,24457.1375,380.1165605,52.01851755,20.73279752,0.430551375,3.469018787,3.30774554,8.629047439,0.346680684,0.256357939,0.991968835,0.937781502,-0.038241846,0.505669263,0.26328342,14.42142331,0.006245243,7.985322646,0.821173551,0.014220967,28.84284662,4.791007971,18.18782877,46040.40737,0.07170328,18.9398157,228.684875,1.290092096,292.7532491,0.011746045,0.0097718,4.551638466,545412.4983,0.849246881,0.917353254,0.101362585,0.937732424,214.9206684,0.009338151,11034.68317,0.051983451,30.74318641,242.1855535,492.7998992,100736.2738,2.560143723,0.014767978,84663.81812,0.398844027,0.656689736,163.5798154,0.010979311,6.61839919,0.303272704,481.9273007,6.655983865,123173.6261,0.175977155,3.054104689,51336.78209,18.3443786,228.0438794,12.96914311,2862.856162,0.086802821,0.009532193,0.281780682,68.15342442,0.004021797,89.5648142,1.06E-05,3235.020058,0.037945227,0.019018375,0
MSHS002,0.798554078,0.657773914,105.3105587,160.101452,156.5247584,171.7672844,139.2012931,174.9457059,661998.6667,127.8496674,0.102125389,359684.5733,0.543331265,662650,9.431791019,20.88180199,167449868.6,4.243928863,5.587549686,4.475917857,50.91976547,3.612322836,15.15889228,15.04256582,5.56E-05,50.91970984,2.35487372,15.89645571,0.383641209,167449868.6,0.065662481,22.90528893,245.3519852,17734.08447,218.1863541,64.12295568,21.51611945,0.497662159,3.455862882,3.315427499,9.499746476,0.35179458,0.26281869,0.99173236,0.938227727,-0.056382906,0.604880409,0.269463444,15.3199263,0.005469644,8.205033674,0.511963646,0.013114557,30.6398526,5.014579238,21.40976878,38962.39911,0.064265954,22.94360934,259.7874422,1.300258525,334.4635086,0.010584576,0.008771597,4.723368711,512519.2211,0.845177508,0.914905072,0.10511199,0.935877572,243.8271534,0.008376154,9136.132414,0.046345488,38.2811656,281.1919485,441.7084883,106695.8362,1.985076891,0.013282462,79460.13687,0.403082909,0.660293337,193.87557,0.009713053,6.802412006,0.29748887,430.4090057,6.881937662,113488.8695,0.171265177,3.237543482,43511.24311,22.1618658,258.8506995,13.55749491,3376.304858,0.079589379,0.008543525,0.277607889,78.10377398,0.00352027,76.20391183,1.22E-05,3037.402844,0.045339606,0.019425034,0
MSHS003,0.841258592,0.706932619,113.538894,160.6078018,156.6684397,170.6516921,153.4470593,171.97965,781350.0833,135.1126933,0.101688312,403438.0543,0.516334564,779447,8.982756996,21.74718895,210376200.2,4.369552147,6.463452339,3.834035655,51.00245667,4.005330029,15.59295494,15.75412369,0.00022269,51.00223398,2.698534808,16.42876844,0.033913941,210376200.2,0.058418021,26.76418873,259.7482385,23668.04218,139.3022268,73.46666025,26.24806437,0.474010251,3.941642455,3.470878695,10.60629917,0.321373043,0.228986698,0.989889154,0.930118501,-0.046588534,0.564700628,0.236344475,15.74621911,0.004178289,8.486430814,0.631596943,0.009413135,31.49243822,5.119947217,24.92868115,41540.80196,0.057452075,26.47029609,275.2249552,1.248708663,342.9714785,0.012791741,0.011080755,4.787916106,626554.2528,0.866382255,0.927639823,0.08624197,0.945436756,260.3695035,0.010693904,12238.51541,0.044655358,38.82419577,280.598407,63.83545204,17386.33701,0.306718194,0.016768686,107423.2824,0.391961361,0.650847036,185.7512408,0.012535051,6.826145248,0.351615953,55.74704764,6.831284407,152275.409,0.195363391,2.502058235,45533.75149,25.80337663,275.015579,10.80432024,2947.619682,0.072811708,0.010783118,0.314367122,88.53249925,0.005184868,88.01973938,1.02E-05,3595.199684,0.056969446,0.015578418,0
MSHS004,0.789047492,0.697436341,115.2759909,165.285323,179.4240787,175.5135322,149.4657151,181.8625855,743333.5417,130.4179696,0.094530695,419791.6146,0.564741924,740372,9.347180843,20.34585094,178288452.1,4.157439814,5.47988224,4.634244052,51.75735474,3.46912081,14.83239096,14.72228432,0.000306005,51.75704873,2.295913767,15.51803097,0.355155164,178288452.1,0.06892542,20.80946362,226.9639642,16992.84782,241.9609483,55.74963373,21.50025852,0.443837192,3.547497702,3.335906612,8.850774134,0.341950214,0.251179402,0.991672621,0.936471029,-0.041540067,0.529813708,0.258040905,14.77841169,0.0055405,8.126807432,0.653890144,0.012922474,29.55682338,4.899596759,19.31247306,46037.63066,0.067553999,20.11427023,240.1740048,1.277334854,304.0424402,0.010718274,0.008979849,4.610838244,582355.3098,0.854369838,0.920467632,0.096678994,0.9400606,226.342561,0.008597084,11748.58278,0.049983335,31.90473468,255.271589,204.2295767,44222.60062,1.050392125,0.01332236,95286.15541,0.405386749,0.662150877,173.8444208,0.010018779,6.651893071,0.317475539,194.3080282,6.713695531,133781.8034,0.180695385,2.906998716,51030.45069,19.50467588,239.4034607,12.31865062,2831.489728,0.076429802,0.008768124,0.293358861,74.76447816,0.003814598,91.32447698,1.00E-05,3443.396593,0.039785105,0.018466395,0
MSHS005,0.808537213,0.672157255,111.0313615,165.186585,164.5387492,175.5591069,145,178.9133869,747381.6667,133.559501,0.094818392,420035.9834,0.562010017,743355,10.31181374,20.53387375,193942185,3.932572305,5.090570927,6.700144497,57.77758026,3.30432568,15.5162621,15.42581749,0.000414422,57.77716584,2.132783744,16.15243525,0.684353966,193942185,0.082381721,20.14677488,198.4891412,18090.27928,345.1180537,42.99160306,17.49071284,0.422212462,3.156985792,3.190028568,7.46411126,0.367066025,0.279413974,0.993201623,0.942952789,-0.037750244,0.494166692,0.285080649,13.86050877,0.007833331,7.696399395,0.783166456,0.017757448,27.72101755,4.634281588,15.12057898,54189.81288,0.080206029,15.76726792,209.923539,1.325721642,275.4114154,0.011102108,0.008972359,4.440650082,564586.0884,0.835402995,0.908885443,0.114555904,0.931365471,196.1051441,0.008515872,11229.29437,0.05547714,27.87701293,226.9493955,2727.822309,524757.8292,14.5232083,0.013659819,81492.61594,0.402605643,0.659811157,154.6992534,0.010108795,6.522691846,0.272296547,2714.335297,6.594726806,120823.625,0.162538256,3.532018812,61238.86436,15.16898591,209.1256654,14.88203483,2987.28345,0.09585047,0.008754769,0.25923574,58.50039133,0.003383923,94.36011055,9.88E-06,3177.179713,0.027499021,0.021647586,0
MSHS006,0.831684911,0.692968278,114.5026405,165.2350391,171.7323499,178.8686669,145.4166428,180.2165364,766600.0833,137.4234888,0.095667534,423414.2316,0.552327401,762553,10.10244789,22.84121628,231617131.5,4.064792816,6.422698021,5.324480339,64.4103241,4.05885904,16.58007678,16.52348137,0.000668783,64.40965531,2.68473368,17.4281112,0.466141817,231617131.5,0.073491414,28.84011414,185.6882075,17603.92249,262.0868067,51.2825464,17.38384022,0.493932776,3.156135555,3.185003685,7.343620962,0.366327416,0.278446386,0.993241041,0.94293867,-0.05363688,0.579564796,0.284371408,13.31213695,0.006604171,7.883211697,0.739700186,0.014867333,26.6242739,4.820408486,17.16659666,49884.72038,0.071962059,18.04180021,197.0162915,1.324794562,258.2076849,0.014674886,0.011770883,4.567955884,579377.3105,0.835518578,0.909057822,0.114017137,0.931414195,184.0701075,0.011146044,10840.00472,0.052334811,29.6699665,213.8244371,935.5513644,172558.6634,5.443116042,0.017172195,80836.19966,0.390271714,0.649519638,144.0359073,0.012174567,6.675719118,0.271624399,921.9975216,6.770629707,124784.1973,0.163640032,3.481647689,56041.09814,17.462725,196.2453784,14.80148527,2784.600931,0.129589225,0.011519796,0.256754757,54.61442519,0.004168828,96.87355126,1.03E-05,3206.225184,0.031421744,0.02218105,0
MSHS007,0.742987475,0.678162258,114.2567372,168.479941,167.8362297,176.283862,150.7116452,179.516016,790581.0833,125.1784859,0.104234181,396678.1174,0.501755134,785105,10.29441719,25.33221626,279157520.9,3.901656914,7.361049652,6.647591719,85.0694809,4.813776463,17.69690723,17.22934723,0.000312385,85.06916851,3.098663481,18.85648738,0.978085456,279157520.9,0.083694718,42.38659086,127.8274268,19651.66743,434.6666804,49.82697732,9.640964156,0.67610257,2.339135384,2.796481565,4.130920917,0.42668761,0.348291296,0.996206452,0.956688035,-0.107619702,0.747602428,0.348846426,10.85268608,0.009574113,7.38466231,0.799166985,0.021912512,21.70537215,4.748552706,14.86698537,56258.78768,0.081763851,15.24906429,134.7444492,1.471070016,193.5380448,0.023697305,0.016942304,4.540244786,539133.6933,0.78314274,0.876385667,0.167827256,0.90633666,122.969063,0.01557652,7619.419851,0.057094834,26.29881296,160.4420466,50151.07006,5671588.671,459.770466,0.025237064,52921.04884,0.396554932,0.654806189,108.3430651,0.017109791,6.559970121,0.169979812,50116.45976,6.94646577,102273.6418,0.13026747,5.10557635,65709.14118,14.72654358,133.5640761,22.86314187,2826.486898,0.325298299,0.016633674,0.18080053,27.80065072,0.004069513,108.1589627,1.14E-05,2452.848995,0.020157083,0.032422715,0
MSHS008,0.898125012,0.64662443,107.7160455,166.5820846,183.839604,181.7278185,160.7015868,185.4669782,835225.5417,149.6115367,0.090743356,472648.6952,0.565893488,833787,8.320231056,24.31499748,272684829,4.236997067,7.57071352,5.406248631,70.65525818,5.064018355,16.73426065,16.76250648,2.09E-05,70.65523728,3.209895652,18.08435103,0.510174737,272684829,0.066395871,47.00827273,166.6807429,35902.73621,377.8196983,76.42700105,18.17366748,0.61643928,3.170405017,3.204917391,8.050687875,0.369909958,0.283261751,0.992972418,0.942870664,-0.086988285,0.715479494,0.287194324,12.33358301,0.005927726,8.097667749,0.661770829,0.014247011,24.66716602,5.060897769,23.65016713,49369.88591,0.065321599,23.97325607,177.5550245,1.33739368,231.2457755,0.043908281,0.026913694,4.742091704,629010.7078,0.832006522,0.906444378,0.119659498,0.929763558,166.1856298,0.024001733,10894.19852,0.048631341,36.46617754,201.8167586,1545.155663,132679.0518,429.4777957,0.024968975,87684.9316,0.391422629,0.650477976,137.7383048,0.018059039,6.785658568,0.268672934,1531.302397,6.973672454,133293.739,0.159865456,3.855077792,55360.01439,23.59530179,175.9512885,15.63676455,2429.432986,1.000605923,0.028700957,0.254158288,50.8370039,0.006425168,107.8863498,1.04E-05,3219.910616,0.04213263,0.022203018,0
MSHS009,0.747568016,0.680961108,111.28587,163.4247077,162.8741846,172.0116275,143.0314651,175.6445274,683248.25,122.1710846,0.097292812,385587.0046,0.564343933,682833,9.875649643,22.17137146,192578882.3,4.181414467,6.0443573,4.617645224,57.24147797,3.904988111,15.97428767,15.73470783,0.000981941,57.24049603,2.544019365,16.79372666,0.542835936,192578882.3,0.068529399,26.85138867,216.5839694,18771.2727,333.8837183,60.40051894,21.60951708,0.473538443,3.492875079,3.32450428,9.329496595,0.348066553,0.258380639,0.9916752,0.937543153,-0.048636177,0.565944567,0.265150346,14.38353376,0.005671953,8.148341178,0.523319772,0.013412456,28.76706753,4.943352275,20.502509,42043.93512,0.067110967,21.22352704,230.6211934,1.289708605,293.1868959,0.011296215,0.009290678,4.648579238,532267.6003,0.849408445,0.917469515,0.10120873,0.937797606,217.1421489,0.008853218,10320.10829,0.049226824,33.79611388,253.9774093,334.8487293,66316.64952,1.845332802,0.013194995,83985.64718,0.400610784,0.65823012,174.4791268,0.009602085,6.716543934,0.307020897,324.2399814,6.785661818,119954.1974,0.175671354,3.092144133,46794.13525,20.5700889,229.4368052,12.98815523,2798.578841,0.088466893,0.009098968,0.28437649,71.9896101,0.003625613,89.31189024,1.13E-05,3032.897189,0.044537584,0.018288376,0
MSHS010,0.737772659,0.664813412,107.8129492,162.1702378,169.6732153,172.6991604,134.2385936,175.8266191,624762.4167,119.6447676,0.100360305,352153.5584,0.563659959,624267,9.545178795,21.35105171,164382631.8,4.260678743,5.86791563,3.788971243,51.38004303,3.704375336,15.49489394,15.51507854,0.000763802,51.37927923,2.462300081,16.22716962,0.07441317,164382631.8,0.063753285,23.22929572,248.8405534,13847.67197,55.366285,60.8437686,25.93718971,0.402629934,3.869440955,3.457741222,10.88224951,0.327498712,0.235959736,0.990036408,0.931422528,-0.035375813,0.496146459,0.242926237,15.49560628,0.004757443,8.347619855,0.447680831,0.011069948,30.99121256,4.996706672,21.69523958,36160.24508,0.062546726,22.75368572,265.5687728,1.254711609,330.4629808,0.011137811,0.009529076,4.688589656,499441.2149,0.863743094,0.926092645,0.088395408,0.944270865,251.3548818,0.009169584,10211.89956,0.047002695,35.45834661,281.4102236,93.47480461,23469.65986,0.440323988,0.014100582,88601.21254,0.407808142,0.664184626,193.0380791,0.010684641,6.71053876,0.348027366,85.2187376,6.745288572,119056.3812,0.190713879,2.66384103,39799.07207,22.07818955,264.778859,11.19953642,2854.9871,0.06988642,0.009295657,0.315029363,88.8718344,0.00436974,75.86076793,1.21E-05,3425.300789,0.050763115,0.018126974,0
