sub,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength,outcome
MSHS001,0.814733175,0.671713842,90.97360811,135.4350653,161.0124219,160.6549097,132.3064624,163.694838,392764.5417,110.3434407,0.129943116,199596.2439,0.508182951,395600,16.13801079,25.06936359,169816046,4.078078509,4.583090782,3.951585098,43.69849014,2.809878765,20.40099037,20.15877819,0.085086823,43.61340332,1.910120975,20.71863888,0.321891578,169816046,0.071465256,13.06158906,576.6592115,9572.40182,152.1436444,50.52358339,17.70990961,0.480717316,3.216659642,3.201079609,7.322114393,0.358723934,0.268998971,0.993118841,0.941842438,-0.05151591,0.577238002,0.27627779,23.84223186,0.006126265,7.930463101,0.499056378,0.013631854,47.68446371,4.845150776,17.05837325,25315.18761,0.070167449,17.79122628,584.4661799,1.312378765,762.6056067,0.002637134,0.002038498,4.567549443,303288.9641,0.840497091,0.911992494,0.10973126,0.933752224,546.5723218,0.00191136,5856.570628,0.052676002,28.95460255,603.2505374,4312.001241,2188599.804,8.600577602,0.002293461,45475.09586,0.40901859,0.665105954,402.5856411,0.001603077,6.559126528,0.281043984,4299.340725,6.757815753,66064.44873,0.166998101,3.362818178,28271.6552,17.24525734,583.2863347,14.1750455,8050.475516,0.027196287,0.002027839,0.267773049,160.3899681,0.000608481,29.39035874,1.93E-05,2625.413215,0.031612119,0.025712606,0
MSHS002,0.800264865,0.641809906,88.11529347,137.2918875,147.6787053,163.0828011,132.0757358,169.2483382,387912.2083,109.8698738,0.14076032,182736.868,0.471077899,390582,15.02406836,23.7022625,148326232.7,4.054549923,4.34288311,4.203503127,43.51721191,2.737063446,19.15669268,18.8952589,0.003006761,43.51420515,1.817975529,19.48735383,0.421227408,148326232.7,0.074107151,12.77808507,519.2195932,10829.36725,187.0505223,51.38714443,14.87073127,0.550829545,2.925180003,3.082476472,6.270449209,0.379534523,0.292925135,0.994198541,0.946729411,-0.069061691,0.645662579,0.29877996,22.58515778,0.007011432,7.798127456,0.56688073,0.016075452,45.17031556,4.846636338,16.56446893,25485.87942,0.072472682,17.58206012,524.8443641,1.362287949,710.1013468,0.003013302,0.002238615,4.596474552,288989.1623,0.821577408,0.900353043,0.128166364,0.924937998,486.3244294,0.00207792,4858.26792,0.05181434,30.45167436,545.5358617,9706.794556,4537243.638,21.03266322,0.002482068,37403.35393,0.398913793,0.656794293,360.7832075,0.001694832,6.663539,0.240059706,9689.44208,6.866958291,59466.36937,0.152250665,3.986307129,28944.91943,16.9494532,523.5816858,16.8803017,8592.319713,0.03608401,0.002228714,0.235299573,127.3539113,0.000576574,28.68409718,2.08E-05,2394.278235,0.028052381,0.029568491,0
MSHS003,0.867945791,0.713399152,96.14743277,134.7736853,147.5974255,164.5387492,141.0886246,164.550904,411335.375,116.9762529,0.130207108,205421.9298,0.499402537,416171,16.5253582,26.66237068,198588358.3,4.104098586,5.146456718,3.921875025,48.90962601,3.184025962,21.45373293,21.227705,0.119998932,48.78962708,2.148173906,21.84444352,0.375125353,198588358.3,0.07041588,16.91705614,508.6738705,11213.99143,174.9155525,53.51923738,16.83566522,0.52084623,3.161334948,3.175324725,6.803932905,0.361567721,0.272183447,0.993429896,0.942686995,-0.058405293,0.609241745,0.278780118,22.34946772,0.006032025,7.952029906,0.536999191,0.013604175,44.69893545,4.890738504,17.58872565,26182.82283,0.069132862,18.40431353,519.2309705,1.320567673,680.9388861,0.002990849,0.002287597,4.601862213,317163.0547,0.837276922,0.910041601,0.112718018,0.932267665,484.9469769,0.002138865,5821.890964,0.051727152,29.66169305,541.8061395,3197.625615,1467192.22,7.092719087,0.002482475,45126.33361,0.400944768,0.65853285,358.9379822,0.00169366,6.63954632,0.270441717,3183.952967,6.814618786,68845.89227,0.165426933,3.450053561,29305.04737,17.84548059,517.9704136,14.59842949,7332.425131,0.032018007,0.002279226,0.259243624,139.102268,0.00063927,32.44698304,1.87E-05,2602.065325,0.032016848,0.02579473,0
MSHS004,0.7919866,0.675955278,96.69598569,143.0508628,156.2625995,167.5470083,139.2012931,170.0411715,462434.0833,113.2943664,0.133608402,216446.3395,0.468058794,466201,15.56563091,24.9137001,194395185.8,4.2194329,4.843301773,3.607153114,41.32550049,2.939693812,20.07236499,19.85698509,0.04508106,41.28041943,2.013961761,20.42001949,0.295870106,194395185.8,0.064224082,14.07735972,625.160388,13279.55678,160.8624116,62.20310722,19.95811164,0.513812093,3.428712506,3.285534443,8.15162093,0.346640572,0.255790174,0.992258139,0.938347872,-0.056709364,0.60828861,0.262729266,24.79101803,0.00502682,8.189264502,0.522149071,0.010990685,49.58203605,5.010453907,20.54030472,26999.68731,0.063244114,21.31709948,635.0071194,1.296747518,818.5490456,0.002402576,0.001872797,4.690921159,361470.8235,0.846560845,0.915729646,0.103884854,0.936527811,595.6381709,0.001759378,6711.41566,0.048902054,32.91146422,657.5588522,1712.223029,933503.2044,3.197129678,0.002042094,55390.53762,0.403597569,0.660696038,436.7538894,0.001405029,6.697773049,0.294383753,1700.683919,6.869009647,80885.74682,0.173499728,3.162012356,29941.33125,20.73923169,633.6820384,13.34467966,8220.116409,0.023856208,0.001865475,0.277032597,180.8511202,0.000563361,33.78538593,1.68E-05,2753.830913,0.040419678,0.020622884,0
MSHS005,0.789842667,0.652883584,94.42443814,144.6267612,156.3713529,167.9434429,137.0583817,171.8051222,477764.875,114.2323868,0.127657654,231515.5028,0.484580418,481949,16.7528347,25.10224419,212849889.7,3.906874635,4.266027451,4.131944468,46.10123825,2.627922199,20.74028524,20.50275803,0.10556329,45.99567496,1.781319171,21.01532801,0.404231955,212849889.7,0.080659245,11.48457951,535.121642,6546.752912,124.9735055,40.13328962,14.00506518,0.482252077,2.846068761,3.043177752,5.86733945,0.383903591,0.29762389,0.994529159,0.948025815,-0.054488409,0.579016902,0.303311028,22.99099755,0.007841,7.589985499,0.503893704,0.017643078,45.98199511,4.675846256,13.5345887,34195.87913,0.078931266,14.16610537,540.3331107,1.368680046,736.3093429,0.002834436,0.002092349,4.453563691,355093.3055,0.819406622,0.898936003,0.130640767,0.923905358,499.7885206,0.001939043,6485.499829,0.057004859,24.81967979,554.7670232,13633.73054,6596920.185,28.5301229,0.002288432,45882.85754,0.403291327,0.660391009,367.461325,0.001572812,6.472187319,0.236064397,13615.78572,6.728218417,72410.71457,0.150245596,4.068630515,38873.64233,13.65405323,539.5040824,17.22857605,9135.485628,0.034663514,0.002084379,0.232781201,128.3029047,0.000528547,36.70473885,1.59E-05,2281.69657,0.023152082,0.0224405,0
MSHS006,0.797836124,0.647945187,94.46965262,145.7988337,163.4870025,171.4788617,137.2443077,172.6644144,497395.7083,116.3235764,0.134793466,225225.023,0.452808537,500327,15.80046253,26.44359665,228797032.4,4.044139567,5.428986549,3.884791398,53.53667068,3.341189615,20.94769994,20.68736267,0.358025849,53.17864484,2.265343531,21.38445683,0.410604531,228797032.4,0.073066504,18.48886098,403.7536218,9946.833874,152.3174673,51.72151646,13.86576649,0.576980364,2.839478389,3.039529095,5.755756826,0.384688029,0.29868806,0.994575791,0.948119694,-0.076641994,0.671192084,0.303902578,19.85667837,0.006815121,7.778881818,0.581027077,0.015306023,39.71335674,4.871350572,16.39682074,32206.48582,0.071760465,16.95197632,412.4272139,1.377028655,561.6901122,0.004007227,0.002928553,4.596275074,366466.6522,0.816286703,0.897032879,0.133642016,0.922423415,381.5616424,0.002706669,5995.460114,0.053164439,28.12305327,440.3518161,13681.4976,4910589.471,38.90316312,0.003140668,44328.21381,0.393078192,0.651860387,289.3818037,0.002115965,6.642910488,0.225396591,13661.81396,6.910525396,74800.04121,0.149502308,4.150791956,36557.14498,16.42093859,410.8163081,17.67218839,6943.08271,0.050666362,0.002921535,0.224341216,97.20693226,0.000699157,44.5713179,1.65E-05,2092.586892,0.029811119,0.021287064,0
MSHS007,0.723973517,0.669077706,97.96200709,146.4134977,158.685223,168.0743883,143.0034965,171.2950671,396685.7083,105.9994949,0.133002831,196300.2911,0.494850928,401151,16.01570702,29.6648941,215587766.3,4.191602138,6.852248192,3.96045602,61.14860916,4.288697155,22.50670752,21.99703217,0.058952499,61.08965666,2.870999926,23.18238515,0.624608906,215587766.3,0.066403878,30.87109774,372.0621103,20715.73329,427.0064182,72.0722,11.59567317,0.722868152,2.599872813,2.922327928,4.801541472,0.401598427,0.318047412,0.995447045,0.952149683,-0.126633272,0.805051749,0.322448791,18.89289098,0.006521259,7.85861582,0.737788092,0.014782906,37.78578196,5.077376485,20.91696829,23347.16619,0.065371368,21.28972599,378.831813,1.406613649,525.4377912,0.004753759,0.003394948,4.768428277,287694.3188,0.805285035,0.890302194,0.144312524,0.91718725,348.7523876,0.003118552,4156.357565,0.05056027,31.80849094,408.1154417,9445.698623,2741693.53,34.27638108,0.003632925,32051.5765,0.389893396,0.649314165,266.233488,0.002433421,6.762688884,0.204925327,9421.885918,7.139418016,57208.28795,0.142610359,4.437065233,26637.98225,20.76588535,376.957066,19.27607061,6875.539989,0.064655518,0.003388891,0.208113765,83.21825991,0.000748777,33.90597781,2.39E-05,1903.729212,0.034169406,0.030936279,0
MSHS008,0.931652258,0.640179853,93.01671164,145.2977802,157.0350279,170.7922715,151.6344288,177.5302791,473660.4583,135.3670051,0.121318792,242214.869,0.511368143,479004,16.65110016,27.7577589,243045188.8,4.100093969,5.6810112,4.288808955,53.91770935,3.50638113,22.06293958,21.79385471,0.192555577,53.72515377,2.367895817,22.52547429,0.494296923,243045188.8,0.070563698,20.62368936,444.6953892,13004.47405,226.3678887,55.44390613,15.62820334,0.560046495,3.003524282,3.114293014,6.561499172,0.373510865,0.285898241,0.993913127,0.945411862,-0.070397407,0.653900009,0.292434749,20.8503794,0.006325097,7.895992859,0.56662742,0.013847594,41.7007588,4.909485867,17.76802737,30057.22088,0.069343861,18.52943611,454.5498211,1.342540919,603.8106059,0.003576385,0.002690169,4.619628779,359378.6716,0.82888675,0.904903637,0.120752558,0.928354563,423.2008371,0.002504725,6295.120996,0.051815107,30.35395999,484.1871728,4418.697791,1722898.375,11.5677372,0.002949254,48683.6612,0.400714954,0.658283147,321.4477976,0.002024515,6.655936003,0.253634625,4403.15307,6.878230005,75687.93572,0.158011072,3.721803778,33800.29366,17.95310309,452.8372456,15.78009787,6828.410911,0.040923166,0.002680413,0.246178481,117.5100754,0.000720524,38.49880456,1.69E-05,2503.061481,0.030518326,0.024842003,0
MSHS009,0.741311194,0.675312465,94.93573213,140.5804529,154.9516053,164.7118696,136.1800279,167.1735625,405708.125,104.2138633,0.134579959,196930.4488,0.485399322,408512,16.27616215,26.55519142,191429671.3,4.080894816,5.253973961,4.3917483,50.60092926,3.261824948,21.2280044,20.90942383,0.024874449,50.57605481,2.190788444,21.64722433,0.555206033,191429671.3,0.071943501,17.97415029,471.8580528,12219.30885,243.370227,52.45782047,16.24752879,0.526420364,3.083809194,3.145383002,6.690154444,0.367363298,0.278799927,0.993665889,0.944026489,-0.060335781,0.612963263,0.285350239,21.51282083,0.006427102,7.87939494,0.544637589,0.014165432,43.02564165,4.857989637,17.17633731,26128.92208,0.070521327,18.26514727,479.7832202,1.334033357,634.2074145,0.0033027,0.002502802,4.593308917,308527.0941,0.832520635,0.906980607,0.117937861,0.930045638,447.2922157,0.002335272,5494.728803,0.051483962,30.73437442,504.9611345,5021.686902,2052925.295,12.49382662,0.002762308,42932.52869,0.402264925,0.659602193,335.6273319,0.001904792,6.639403849,0.261257931,5007.036112,6.819873704,65663.64038,0.160738584,3.631704437,29389.7834,17.65149202,478.2472339,15.31787561,7035.070813,0.036763773,0.002492729,0.252161862,125.9581694,0.000691269,32.96618077,1.92E-05,2565.894184,0.030970064,0.027586227,0
MSHS010,0.727236514,0.642512061,90.25086566,140.4656367,162.3637891,163.7467557,130.0961183,168.2408987,383079.8333,102.15174,0.136682995,186621.8529,0.487161779,385918,15.96867514,25.69754753,170288926.6,4.047717701,4.932804585,4.689161276,49.00159454,3.097807715,20.61084441,20.22281647,0.086292461,48.91530208,2.061417654,21.00611246,0.709248865,170288926.6,0.074155931,16.44985336,470.9561595,13909.12249,321.8498991,52.50006694,15.66972504,0.539737257,3.04244816,3.122850586,6.370592918,0.368587202,0.27985995,0.993880694,0.944670621,-0.061876243,0.618890404,0.286859169,21.48825335,0.006714557,7.829531475,0.583182438,0.015017395,42.9765067,4.831546969,17.042448,25438.41947,0.072679385,17.84221812,480.486684,1.333420337,633.743969,0.003251172,0.00245046,4.560274408,291311.9876,0.832124988,0.906954925,0.117290118,0.929884173,448.0852293,0.002282241,5252.192814,0.052918286,29.52205454,511.8269539,9140.846883,3792690.24,22.28550389,0.002590255,39707.71757,0.400073728,0.657706122,339.7374616,0.00174828,6.609631956,0.257181577,9125.72798,6.777962403,62160.04542,0.161070604,3.533315965,28618.10859,17.26817533,478.649042,15.22405278,6946.746674,0.036665456,0.002445803,0.249293677,125.8510895,0.000642397,31.36907466,2.00E-05,2536.316827,0.029877094,0.029547336,0
