sub,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength,outcome
MSHS001,0.8270228,0.695133923,108.1477744,155.5783293,168.4666139,166.5953181,139.1294361,170.7190675,703586,128.6668254,0.103433842,369856.2199,0.52567308,699941,-0.66729655,0.757572058,233062.4276,3.3390754,0.74894312,4.179649033,8.039200895,0.450648338,0.049262153,0.066986147,-3.654529276,11.69373017,0.310570741,0.577039331,-0.246771272,233062.4276,0.11741016,0.33054763,268.4002161,1123.449199,-9.794813701,17.80222464,5.418422916,0.533267422,1.736807154,2.425502709,2.375221969,0.49154375,0.427630211,0.997855804,0.967260328,-0.083782827,0.638941768,0.412657639,16.28816038,0.017979702,6.33418805,0.596314542,0.036521469,32.57632076,4.11627319,5.805161888,66704.72617,0.113960142,6.496690304,273.1476486,1.684970581,459.6731494,0.006836108,0.004148331,4.139727303,424749.6409,0.724868817,0.836261034,0.252103464,0.876118505,239.3760927,0.003660662,5269.24868,0.072283478,15.65894159,266.2806288,322205.7177,87255725.5,1206.095409,0.005356208,26709.61229,0.366402078,0.628950165,167.6131779,0.003551182,6.322660367,0.10414735,322113.5235,6.64493822,74546.70007,0.106504263,7.504925266,82180.18514,6.126414095,273.0345743,35.14321493,9533.173749,0.137691238,0.004112352,0.122277481,33.00017166,0.000605837,61.82634661,1.25E-05,1436.735894,0.006692686,0.029627268,0
MSHS002,0.798554078,0.657773914,105.3105587,160.101452,156.5247584,171.7672844,139.2012931,174.9457059,661998.6667,127.8496674,0.102125389,359684.5733,0.543331265,662650,-0.570820353,0.702966561,169946.8818,3.997921114,0.682087233,3.051771767,4.039515803,0.400304736,0.077320884,0.096129387,-2.427400836,6.466916639,0.281500332,0.506424256,-0.190575378,169946.8818,0.072858243,0.250487008,401.1900045,6433.278891,-36.74079018,47.87973556,11.44972509,0.614592132,2.571972562,2.912524446,4.767113979,0.406624095,0.324572018,0.995500011,0.952659979,-0.094300389,0.716496929,0.326890325,19.80106409,0.007295574,7.600222202,0.675105966,0.014795977,39.60212819,4.83172978,14.83236516,42268.69235,0.071797703,15.50758174,409.4610467,1.417528765,581.2314425,0.004111327,0.002960355,4.581853739,473055.7261,0.803065502,0.888423637,0.149226948,0.91600055,374.9033308,0.002727829,7314.695147,0.054531525,25.13475211,401.6744597,2655.338095,1067034.623,7.111154691,0.003495003,47903.79326,0.357125873,0.620589542,248.0591444,0.002280552,6.77261943,0.202425111,2630.933521,6.941187108,93997.31989,0.14185063,4.495524721,48279.51485,15.05919388,409.6802218,19.7132121,8106.861509,0.054063244,0.002938119,0.20044658,80.95276194,0.000679317,53.73674282,1.42E-05,1717.975909,0.026098542,0.016621881,0
MSHS003,0.841258592,0.706932619,113.538894,160.6078018,156.6684397,170.6516921,153.4470593,171.97965,781350.0833,135.1126933,0.101688312,403438.0543,0.516334564,779447,-0.588597242,0.753940745,226247.2318,4.588826474,0.699560112,3.132316525,2.105953304,0.41929944,0.104784776,0.137384122,-2.380675095,4.486628399,0.290623428,0.538763719,-0.363880997,226247.2318,0.048715643,0.279286496,812.9097591,33485.23879,-277.5112422,106.3679167,29.97884982,0.561189663,4.143133186,3.551358601,12.6388619,0.317745646,0.22646247,0.98854368,0.927210466,-0.067963331,0.668183263,0.233204809,28.1746668,0.003156018,8.843832618,0.5888691,0.006658067,56.3493336,5.402805052,34.08669163,34833.94061,0.048160573,35.49624552,828.2250438,1.248352546,1040.039735,0.001871485,0.001535226,5.002505793,627482.8893,0.867345889,0.927942503,0.086552526,0.945826226,782.0946849,0.00146144,11286.57797,0.040126631,47.92890615,798.2446476,63.50866059,55246.36173,0.079095722,0.001768029,110265.0796,0.392020164,0.650783393,512.2446349,0.001222694,6.983323214,0.360863535,55.82949556,7.083727014,152297.7674,0.195392076,2.56857502,37971.26167,34.76566824,829.9618627,10.82554811,9249.57534,0.014587719,0.001522401,0.31933593,255.562506,0.000563748,47.2942373,1.15E-05,3057.014038,0.078268092,0.011644117,0
MSHS004,0.789047492,0.697436341,115.2759909,165.285323,179.4240787,175.5135322,149.4657151,181.8625855,743333.5417,130.4179696,0.094530695,419791.6146,0.564741924,740372,-0.564796596,0.719667437,196002.554,4.081874549,0.677754775,3.180825876,2.258688164,0.403092093,0.084157958,0.099187167,-3.923689047,6.182377211,0.280400208,0.514524278,-0.20998456,196002.554,0.069270663,0.257652671,1089.049943,8446.992641,-43.99908001,53.88768326,13.49898861,0.600217423,2.786991353,3.020087861,5.657598451,0.39111071,0.306715418,0.994712768,0.949046994,-0.08785082,0.705245478,0.310368937,32.84741191,0.006457878,7.801022831,0.90160823,0.013432719,65.69482381,4.919174322,16.84666797,45333.03282,0.068244681,17.42457369,1099.635154,1.37759084,1516.981762,0.001357168,0.000990063,4.629953437,542870.0248,0.816846672,0.897200534,0.134207049,0.92261579,1014.100701,0.000914584,8820.343343,0.05221919,27.53945759,1081.533308,1195.297721,1248641.698,1.170793672,0.001053457,61969.38528,0.366878132,0.629298569,676.6695287,0.000666367,6.785902307,0.228142069,1176.084983,6.935823125,111359.7995,0.150410604,3.995379571,51286.05921,16.93313873,1100.219012,17.4847374,19313.55127,0.017056978,0.000988379,0.220964715,239.7808977,0.000227862,47.27860158,1.23E-05,1335.465962,0.04279964,0.009121547,0
MSHS005,0.808537213,0.672157255,111.0313615,165.186585,164.5387492,175.5591069,145,178.9133869,747381.6667,133.559501,0.094818392,420035.9834,0.562010017,743355,-0.53341073,0.589696285,144620.6173,4.048420655,0.598550117,3.022009646,3.447962822,0.35177621,0.031638768,0.038579092,-2.054917942,5.502880764,0.247270402,0.4410796,-0.08959618,144620.6173,0.07033191,0.193550202,382.741155,7248.89425,10.71544881,50.44983532,13.23147459,0.585267182,2.773341087,3.0068859,5.448838953,0.391111378,0.306556744,0.994811011,0.949238344,-0.083352463,0.686275801,0.310293532,19.32449589,0.006550421,7.748592774,0.599648304,0.0132734,38.64899178,4.872530546,15.92032748,46315.00338,0.069443989,16.47586661,394.8833994,1.378562132,543.8301579,0.004244999,0.003137215,4.594676692,545294.9693,0.817129375,0.897190441,0.134911269,0.922704215,364.4987117,0.002909862,9237.70742,0.054471469,25.51388423,397.3340095,924.2774784,333945.2373,2.79862026,0.003629592,60066.78572,0.354192429,0.617818026,245.6091405,0.002373841,6.78883242,0.228138642,905.0641636,6.907578465,112450.0437,0.151273676,3.999268709,52281.57705,16.05997054,394.7191988,17.49055431,6875.311263,0.051005967,0.003116156,0.218810882,86.85538076,0.00077956,70.82002243,1.23E-05,1553.769236,0.034332783,0.011075283,0
MSHS006,0.831684911,0.692968278,114.5026405,165.2350391,171.7323499,178.8686669,145.4166428,180.2165364,766600.0833,137.4234888,0.095667534,423414.2316,0.552327401,762553,-0.478986585,0.68679425,171532.5705,4.487646156,0.619388361,3.092516624,2.261984973,0.366604466,0.113647669,0.130455084,-1.966209952,4.228194925,0.2558894,0.474283789,-0.222135222,171532.5705,0.052149661,0.21202932,641.9436647,25456.37367,-93.30442175,94.59007378,23.86789958,0.59789639,3.69334957,3.396610902,10.08397039,0.338466667,0.248410372,0.990803419,0.9342851,-0.080588757,0.706348709,0.254732674,24.98524367,0.003684966,8.611621002,0.615665876,0.007728312,49.97048733,5.324843901,29.61449334,36225.43691,0.051606887,30.36227295,659.0265841,1.27864222,844.3645348,0.002466382,0.001974909,4.93366374,600405.7754,0.855079984,0.920515285,0.097847417,0.940309647,619.331458,0.001869106,10672.89759,0.043101398,41.86901717,648.9132997,120.8672417,78592.62508,0.204312448,0.002300981,93646.15172,0.378180346,0.639012051,411.0072828,0.001580678,6.981771364,0.324728904,111.3839719,7.092964282,138787.4316,0.182003653,2.927806183,39766.88067,29.73590277,659.5098334,12.33185759,8204.155538,0.02168621,0.001958404,0.291050533,188.8893031,0.000668863,50.25690103,1.22E-05,2623.668657,0.061832041,0.01212666,0
MSHS007,0.742987475,0.678162258,114.2567372,168.479941,167.8362297,176.283862,150.7116452,179.516016,790581.0833,125.1784859,0.104234181,396678.1174,0.501755134,785105,-0.667990739,0.847999241,283447.5617,4.248209945,0.799134163,3.064486693,3.752370971,0.473139857,0.091224478,0.094167786,-2.715391118,6.467762089,0.33079075,0.60085889,-0.048313377,283447.5617,0.061507091,0.3527095,501.6886783,12536.23472,6.562643537,65.41925153,18.31097434,0.562875411,3.302049464,3.230850865,7.351943612,0.353073772,0.262784362,0.992863562,0.940363532,-0.069028255,0.658461791,0.269817022,22.13394063,0.004821262,8.188614858,0.568729,0.009929508,44.26788127,5.061970225,20.93255647,43643.07919,0.06079681,21.63923849,514.2178199,1.301746769,668.1061454,0.003096085,0.002413551,4.722449537,605833.0979,0.843792054,0.914334143,0.105183952,0.935282445,481.1862709,0.002266849,10810.70773,0.048683943,31.99578647,520.3305698,244.3360593,116718.2848,0.55596892,0.002706542,85120.56424,0.383324091,0.643769554,335.7979706,0.001832276,6.824192027,0.282839875,231.8358085,6.909327809,135791.324,0.172959444,3.057852062,48289.52436,21.16000534,513.8712427,13.47339655,6863.717103,0.030441762,0.002400732,0.265503322,137.8725417,0.000712631,63.9574452,1.08E-05,2312.579217,0.044117446,0.011249694,0
MSHS008,0.898125012,0.64662443,107.7160455,166.5820846,183.839604,181.7278185,160.7015868,185.4669782,835225.5417,149.6115367,0.090743356,472648.6952,0.565893488,833787,-0.645316994,0.773197842,352609.1768,4.123996108,0.690539483,5.46413838,3.204072018,0.469546135,0.098556808,0.197437723,-3.416318922,6.62039094,0.291647448,0.650308223,-1.290470594,352609.1768,0.071404962,0.413187341,746.5807467,45026.46977,-1161.346503,83.74860551,12.1756878,0.746860481,2.597112319,2.942307973,5.35488679,0.41020916,0.329881524,0.995232716,0.952378402,-0.128283347,0.801731676,0.330544481,26.9941946,0.007357637,7.710645934,0.936712095,0.016482387,53.9883892,4.956503941,23.98107333,51945.52168,0.070302354,23.48725075,753.968973,1.431078833,1082.840518,0.002398372,0.001654844,4.710189567,592060.592,0.800796536,0.886139801,0.156057851,0.914828653,688.7720363,0.001511336,9023.717829,0.052706169,28.58970652,710.8404572,3259.415699,2307624.275,7.605189997,0.001786088,62761.31347,0.366579327,0.628772205,440.4470797,0.001164431,6.771401601,0.205337814,3235.698569,7.060867851,114937.2096,0.137849606,4.867733831,59536.52866,23.65461024,755.1373396,20.55222617,15601.8629,0.036735433,0.001660623,0.202312768,145.8959575,0.000355817,48.88195811,1.18E-05,1553.553742,0.042939914,0.012168339,0
MSHS009,0.747568016,0.680961108,111.28587,163.4247077,162.8741846,172.0116275,143.0314651,175.6445274,683248.25,122.1710846,0.097292812,385587.0046,0.564343933,682833,-0.492640312,0.701365764,154383.4234,3.990030951,0.645143881,2.805381441,2.294687227,0.372827286,0.115138995,0.130138717,-3.701036856,5.995724083,0.265832932,0.475491856,-0.14199044,154383.4234,0.072135185,0.212835517,1047.682875,5994.219539,-20.43028793,47.5226329,12.2814545,0.590082407,2.692796893,2.960917969,4.959397317,0.394385145,0.309761451,0.995173308,0.950536893,-0.083285394,0.685859015,0.314215687,32.23154029,0.006755328,7.655386872,0.598289617,0.013230661,64.46308058,4.825285027,14.95102185,43714.20471,0.0714123,15.20488882,1059.501208,1.381058089,1463.918298,0.001381829,0.001005344,4.536953703,499610.3519,0.815751413,0.896465055,0.135574626,0.92208826,976.7912792,0.000928308,8737.16356,0.057734688,22.4483273,1051.145447,1556.098465,1525364.294,1.637838147,0.001050655,52788.67226,0.348824594,0.613079273,642.7954293,0.000655156,6.732646782,0.2216252,1535.739218,6.8612665,103471.619,0.151532833,3.992505143,49256.28474,14.88760149,1059.702457,17.62269398,18693.9586,0.017402806,0.001003577,0.214279283,225.700065,0.000223453,45.84868846,1.31E-05,1232.562879,0.038050205,0.009403969,0
MSHS010,0.737772659,0.664813412,107.8129492,162.1702378,169.6732153,172.6991604,134.2385936,175.8266191,624762.4167,119.6447676,0.100360305,352153.5584,0.563659959,624267,-0.480906135,0.653779982,131790.2615,4.138759816,0.596877481,3.201224564,3.086693369,0.355688007,0.101447988,0.126670826,-2.132813018,5.219506387,0.247227293,0.459469271,-0.325562073,131790.2615,0.066629098,0.200820316,485.9394651,9601.272079,-77.90119184,57.24286677,16.07347852,0.562412732,3.037883838,3.133718075,6.75633809,0.374187529,0.287440071,0.993731096,0.944881021,-0.075860811,0.671025254,0.292670459,21.80932211,0.005780533,7.955092159,0.582562244,0.012186775,43.61864422,4.959989764,18.32908632,37137.04179,0.065701211,19.02055502,497.2242293,1.340752161,670.415223,0.003232061,0.002473717,4.652012178,469209.4676,0.82978697,0.905439376,0.120143935,0.928734179,461.0580227,0.002314202,8161.511599,0.050949582,29.30270805,479.0048942,560.7113329,265761.1727,1.263879268,0.002959985,58673.15349,0.366276834,0.628679248,298.2088539,0.001984878,6.810005734,0.256601743,545.524025,6.899525581,100101.5996,0.160350619,3.571256452,41594.34706,18.51140932,498.2364613,15.53300591,7916.310811,0.034323446,0.002450739,0.24139372,116.4232912,0.000700796,45.46856167,1.43E-05,2215.783608,0.033055342,0.016912599,0
